AdjustedPossessions,Player,RAPM,RAPM_Rank,RAPM__Off,RAPM_Off_Rank,RAPM__Def,RAPM__Def_Rank
1,Brown,0.47,121.0,0.66,62.0,-0.19,327.0
1,Tatum,2.98,2.0,1.44,11.0,1.54,6.0
2,Brown,0.58,101.0,0.71,57.0,-0.13,303.0
2,Tatum,2.87,2.0,1.38,12.0,1.49,6.0
3,Brown,0.71,87.0,0.78,51.0,-0.07,273.0
3,Tatum,2.79,4.0,1.34,13.0,1.44,6.0
4,Brown,0.79,76.0,0.82,48.0,-0.03,266.0
4,Tatum,2.65,4.0,1.28,14.0,1.37,9.0
5,Brown,0.91,68.0,0.86,41.0,0.05,227.0
5,Tatum,2.55,4.0,1.22,18.0,1.34,10.0
6,Brown,1.03,54.0,0.94,38.0,0.09,207.0
6,Tatum,2.46,4.0,1.18,18.0,1.28,11.0
7,Brown,1.09,45.0,0.97,31.0,0.12,188.0
7,Tatum,2.32,6.0,1.11,21.0,1.21,16.0
8,Brown,1.23,39.0,1.04,26.0,0.18,169.0
8,Tatum,2.23,9.0,1.07,24.0,1.16,18.0
9,Brown,1.32,35.0,1.11,21.0,0.21,156.0
9,Tatum,2.11,13.0,1.03,26.0,1.08,23.0
10,Brown,1.44,28.0,1.14,19.0,0.3,131.0
10,Tatum,2.02,14.0,0.95,35.0,1.07,22.0
11,Brown,1.54,25.0,1.2,18.0,0.34,123.0
11,Tatum,1.91,16.0,0.91,39.0,1.0,26.0
12,Brown,1.64,21.0,1.25,17.0,0.4,111.0
12,Tatum,1.8,19.0,0.84,46.0,0.96,28.0
13,Brown,1.81,17.0,1.33,13.0,0.47,94.0
13,Tatum,1.74,19.0,0.82,46.0,0.92,35.0
14,Brown,1.83,18.0,1.3,13.0,0.53,85.0
14,Tatum,1.57,24.0,0.7,59.0,0.86,36.0
15,Brown,1.96,14.0,1.41,12.0,0.55,81.0
15,Tatum,1.46,27.0,0.69,64.0,0.78,45.0
16,Brown,2.1,13.0,1.45,9.0,0.64,63.0
16,Tatum,1.39,32.0,0.62,70.0,0.77,45.0
17,Brown,2.2,12.0,1.54,7.0,0.67,59.0
17,Tatum,1.26,36.0,0.59,72.0,0.67,56.0
18,Brown,2.3,6.0,1.58,7.0,0.71,51.0
18,Tatum,1.16,41.0,0.53,82.0,0.62,65.0
19,Brown,2.4,5.0,1.63,7.0,0.77,47.0
19,Tatum,1.04,55.0,0.48,89.0,0.55,82.0
