,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
0,101107,Marvin Williams,-0.08,258.0,-0.87,435.0,0.79,48.0
1,101108,Chris Paul,0.83,74.0,-0.1,296.0,0.93,35.0
2,101133,Ian Mahinmi,0.15,172.0,0.02,237.0,0.12,182.0
3,101139,CJ Miles,-0.03,234.0,-0.39,363.0,0.37,115.0
4,101141,Ersan Ilyasova,0.93,68.0,0.19,165.0,0.74,55.0
5,101150,Lou Williams,0.54,107.0,0.14,182.0,0.4,104.0
6,1626143,Jahlil Okafor,-0.8,396.0,-0.6,398.0,-0.21,313.0
7,1626144,Emmanuel Mudiay,-0.48,354.0,0.11,198.0,-0.59,396.0
8,1626145,Tyus Jones,-0.77,392.0,-0.83,432.0,0.06,203.0
9,1626149,Montrezl Harrell,2.25,11.0,1.1,24.0,1.15,20.0
10,1626153,Delon Wright,0.74,83.0,0.28,137.0,0.46,95.0
11,1626156,DAngelo Russell,-1.17,431.0,-0.74,419.0,-0.43,366.0
12,1626157,Karl-Anthony Towns,0.61,99.0,-1.24,459.0,1.85,5.0
13,1626158,Richaun Holmes,1.07,51.0,0.25,145.0,0.82,44.0
14,1626159,Justise Winslow,0.79,77.0,0.92,30.0,-0.13,287.0
15,1626161,Willie Cauley-Stein,-0.37,337.0,0.31,132.0,-0.67,412.0
16,1626162,Kelly Oubre Jr.,-0.44,347.0,-0.63,400.0,0.2,162.0
17,1626163,Frank Kaminsky,-0.71,387.0,-0.35,353.0,-0.36,352.0
18,1626164,Devin Booker,-0.03,235.0,-1.48,468.0,1.45,10.0
19,1626167,Myles Turner,-0.02,228.0,0.12,189.0,-0.14,292.0
20,1626168,Trey Lyles,-0.17,292.0,-0.51,386.0,0.34,120.0
21,1626169,Stanley Johnson,-0.08,256.0,0.13,187.0,-0.2,311.0
22,1626171,Bobby Portis,-1.38,445.0,-0.76,424.0,-0.61,399.0
23,1626172,Kevon Looney,-0.99,414.0,-0.11,301.0,-0.88,436.0
24,1626174,Christian Wood,1.74,20.0,0.72,48.0,1.02,26.0
25,1626178,Rondae Hollis-Jefferson,0.36,135.0,0.22,152.0,0.14,175.0
26,1626179,Terry Rozier,-2.02,469.0,-0.94,440.0,-1.08,454.0
27,1626181,Norman Powell,-0.09,264.0,0.49,88.0,-0.58,393.0
28,1626188,Quinn Cook,0.66,96.0,0.2,162.0,0.46,94.0
29,1626192,Pat Connaughton,0.81,75.0,0.07,216.0,0.74,54.0
30,1626195,Willy Hernangomez,-0.55,364.0,-0.24,335.0,-0.31,341.0
31,1626196,Josh Richardson,0.62,98.0,0.49,89.0,0.13,179.0
32,1626203,Treveon Graham,-1.22,433.0,-0.07,278.0,-1.14,458.0
33,1626204,Larry Nance Jr.,-0.63,374.0,-0.55,394.0,-0.07,253.0
34,1626209,Mario Hezonja,-0.7,385.0,0.07,214.0,-0.77,422.0
35,1626220,Royce ONeale,1.59,23.0,1.01,26.0,0.58,74.0
36,1626224,Cedi Osman,-0.06,249.0,0.12,190.0,-0.18,302.0
37,1626246,Boban Marjanovic,0.99,58.0,0.15,178.0,0.85,41.0
38,1626259,Malcolm Miller,0.75,82.0,0.26,142.0,0.49,90.0
39,1627732,Ben Simmons,0.71,86.0,0.22,151.0,0.5,89.0
40,1627733,Dragan Bender,0.32,141.0,0.06,221.0,0.26,143.0
41,1627734,Domantas Sabonis,1.7,21.0,1.17,18.0,0.53,83.0
42,1627736,Malik Beasley,0.28,149.0,-0.09,294.0,0.37,113.0
43,1627737,Marquese Chriss,-1.07,422.0,-0.77,426.0,-0.3,338.0
