,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
0,101107,Marvin Williams,-0.08,262.0,-0.87,436.0,0.78,50.0,110.2
1,101108,Chris Paul,0.82,72.0,-0.1,294.0,0.93,36.0,110.2
2,101133,Ian Mahinmi,0.16,170.0,0.03,236.0,0.13,180.0,110.2
3,101139,CJ Miles,-0.12,271.0,-0.39,363.0,0.27,137.0,110.2
4,101141,Ersan Ilyasova,0.94,65.0,0.23,148.0,0.72,55.0,110.2
5,101150,Lou Williams,0.55,106.0,0.07,212.0,0.48,92.0,110.2
6,1626143,Jahlil Okafor,-0.81,397.0,-0.6,399.0,-0.21,313.0,110.2
7,1626144,Emmanuel Mudiay,-0.47,354.0,0.11,194.0,-0.59,394.0,110.2
8,1626145,Tyus Jones,-0.77,394.0,-0.83,433.0,0.06,204.0,110.2
9,1626149,Montrezl Harrell,2.2,10.0,1.03,25.0,1.17,19.0,110.2
10,1626153,Delon Wright,0.71,85.0,0.27,138.0,0.44,98.0,110.2
11,1626156,DAngelo Russell,-1.15,429.0,-0.74,421.0,-0.41,363.0,110.2
12,1626157,Karl-Anthony Towns,0.62,95.0,-1.24,459.0,1.86,4.0,110.2
13,1626158,Richaun Holmes,1.12,45.0,0.26,139.0,0.86,41.0,110.2
14,1626159,Justise Winslow,0.78,74.0,0.92,33.0,-0.13,290.0,110.2
15,1626161,Willie Cauley-Stein,-0.35,335.0,0.31,130.0,-0.66,413.0,110.2
16,1626162,Kelly Oubre Jr.,-0.42,344.0,-0.62,401.0,0.19,164.0,110.2
17,1626163,Frank Kaminsky,-0.73,390.0,-0.32,349.0,-0.41,364.0,110.2
18,1626164,Devin Booker,0.03,204.0,-1.41,465.0,1.44,11.0,110.2
19,1626167,Myles Turner,0.04,202.0,0.12,189.0,-0.08,260.0,110.2
20,1626168,Trey Lyles,-0.16,291.0,-0.51,386.0,0.34,120.0,110.2
21,1626169,Stanley Johnson,-0.08,258.0,0.13,187.0,-0.2,312.0,110.2
22,1626171,Bobby Portis,-1.43,448.0,-0.79,430.0,-0.64,407.0,110.2
23,1626172,Kevon Looney,-0.99,413.0,-0.11,296.0,-0.88,435.0,110.2
24,1626174,Christian Wood,1.74,19.0,0.72,50.0,1.02,25.0,110.2
25,1626178,Rondae Hollis-Jefferson,0.31,145.0,0.2,161.0,0.1,188.0,110.2
26,1626179,Terry Rozier,-2.0,468.0,-0.94,439.0,-1.06,454.0,110.2
27,1626181,Norman Powell,-0.01,229.0,0.56,81.0,-0.57,390.0,110.2
28,1626188,Quinn Cook,0.66,92.0,0.2,162.0,0.46,95.0,110.2
29,1626192,Pat Connaughton,0.7,88.0,-0.02,258.0,0.72,54.0,110.2
30,1626195,Willy Hernangomez,-0.55,365.0,-0.25,335.0,-0.31,340.0,110.2
31,1626196,Josh Richardson,0.69,89.0,0.52,87.0,0.17,168.0,110.2
32,1626203,Treveon Graham,-1.22,435.0,-0.08,279.0,-1.14,456.0,110.2
33,1626204,Larry Nance Jr.,-0.66,379.0,-0.51,388.0,-0.15,293.0,110.2
34,1626209,Mario Hezonja,-0.69,386.0,0.07,209.0,-0.77,420.0,110.2
35,1626220,Royce ONeale,1.59,23.0,1.01,27.0,0.58,75.0,110.2
36,1626224,Cedi Osman,-0.0,223.0,0.16,175.0,-0.16,296.0,110.2
37,1626246,Boban Marjanovic,0.98,57.0,0.14,178.0,0.84,43.0,110.2
38,1626259,Malcolm Miller,0.75,81.0,0.25,142.0,0.5,89.0,110.2
39,1627732,Ben Simmons,0.74,83.0,0.21,157.0,0.53,83.0,110.2
40,1627733,Dragan Bender,0.32,141.0,0.06,217.0,0.26,142.0,110.2
41,1627734,Domantas Sabonis,1.64,21.0,1.15,20.0,0.49,91.0,110.2
42,1627736,Malik Beasley,0.23,156.0,-0.14,307.0,0.38,112.0,110.2
43,1627737,Marquese Chriss,-1.05,421.0,-0.77,425.0,-0.28,337.0,110.2
44,1627739,Kris Dunn,0.15,171.0,1.3,11.0,-1.14,458.0,110.2
45,1627740,Henry Ellenson,0.2,160.0,0.27,137.0,-0.08,256.0,110.2
46,1627741,Buddy Hield,-0.44,349.0,-0.71,416.0,0.27,135.0,110.2
47,1627742,Brandon Ingram,-0.41,339.0,-0.75,422.0,0.34,121.0,110.2
