,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
0,101107,Marvin Williams,-0.05,245.0,-0.87,435.0,0.82,48.0
1,101108,Chris Paul,0.82,72.0,-0.1,294.0,0.92,36.0
2,101133,Ian Mahinmi,0.15,168.0,0.03,232.0,0.12,183.0
3,101139,CJ Miles,-0.13,278.0,-0.44,376.0,0.31,129.0
4,101141,Ersan Ilyasova,1.14,42.0,0.26,143.0,0.88,39.0
5,101150,Lou Williams,0.55,106.0,0.05,225.0,0.51,87.0
6,1626143,Jahlil Okafor,-0.81,397.0,-0.6,400.0,-0.21,313.0
7,1626144,Emmanuel Mudiay,-0.47,351.0,0.11,193.0,-0.59,394.0
8,1626145,Tyus Jones,-0.77,394.0,-0.83,432.0,0.06,203.0
9,1626149,Montrezl Harrell,2.2,11.0,1.01,26.0,1.19,19.0
10,1626153,Delon Wright,0.68,89.0,0.27,138.0,0.41,102.0
11,1626156,DAngelo Russell,-1.18,431.0,-0.75,424.0,-0.42,367.0
12,1626157,Karl-Anthony Towns,0.62,96.0,-1.24,459.0,1.86,4.0
13,1626158,Richaun Holmes,1.14,44.0,0.26,139.0,0.87,41.0
14,1626159,Justise Winslow,0.64,94.0,0.87,34.0,-0.23,320.0
15,1626161,Willie Cauley-Stein,-0.38,339.0,0.29,133.0,-0.67,412.0
16,1626162,Kelly Oubre Jr.,-0.34,331.0,-0.57,398.0,0.23,151.0
17,1626163,Frank Kaminsky,-0.65,380.0,-0.27,340.0,-0.38,358.0
18,1626164,Devin Booker,-0.05,244.0,-1.47,468.0,1.43,11.0
19,1626167,Myles Turner,0.03,205.0,0.14,183.0,-0.11,270.0
20,1626168,Trey Lyles,-0.12,272.0,-0.46,380.0,0.34,119.0
21,1626169,Stanley Johnson,-0.07,258.0,0.13,187.0,-0.2,310.0
22,1626171,Bobby Portis,-1.35,445.0,-0.78,428.0,-0.58,391.0
23,1626172,Kevon Looney,-0.99,415.0,-0.11,297.0,-0.88,435.0
24,1626174,Christian Wood,1.74,20.0,0.72,50.0,1.02,27.0
25,1626178,Rondae Hollis-Jefferson,0.34,137.0,0.17,170.0,0.16,172.0
26,1626179,Terry Rozier,-2.0,468.0,-0.93,438.0,-1.07,454.0
27,1626181,Norman Powell,-0.03,234.0,0.63,64.0,-0.66,409.0
28,1626188,Quinn Cook,0.66,92.0,0.2,161.0,0.46,95.0
29,1626192,Pat Connaughton,0.76,81.0,0.02,239.0,0.74,56.0
30,1626195,Willy Hernangomez,-0.55,369.0,-0.25,337.0,-0.31,340.0
31,1626196,Josh Richardson,0.57,101.0,0.51,88.0,0.06,206.0
32,1626203,Treveon Graham,-1.22,433.0,-0.08,281.0,-1.14,458.0
33,1626204,Larry Nance Jr.,-0.72,390.0,-0.53,394.0,-0.19,305.0
34,1626209,Mario Hezonja,-0.7,387.0,0.07,212.0,-0.77,422.0
35,1626220,Royce ONeale,1.59,23.0,1.01,25.0,0.58,73.0
36,1626224,Cedi Osman,0.07,196.0,0.21,155.0,-0.15,295.0
37,1626246,Boban Marjanovic,0.99,61.0,0.14,179.0,0.85,44.0
38,1626259,Malcolm Miller,0.76,80.0,0.26,140.0,0.5,90.0
39,1627732,Ben Simmons,0.77,77.0,0.24,148.0,0.54,80.0
40,1627733,Dragan Bender,0.32,140.0,0.06,217.0,0.26,139.0
41,1627734,Domantas Sabonis,1.63,22.0,1.12,20.0,0.51,86.0
42,1627736,Malik Beasley,0.25,152.0,-0.12,299.0,0.37,112.0
43,1627737,Marquese Chriss,-1.02,420.0,-0.73,419.0,-0.3,336.0
44,1627739,Kris Dunn,0.15,166.0,1.3,10.0,-1.14,459.0
45,1627740,Henry Ellenson,0.2,158.0,0.27,137.0,-0.08,251.0
46,1627741,Buddy Hield,-0.48,354.0,-0.71,416.0,0.23,150.0
47,1627742,Brandon Ingram,-0.41,343.0,-0.75,423.0,0.34,120.0
48,1627745,Damian Jones,-1.55,453.0,-1.24,460.0,-0.31,342.0
49,1627746,Skal Labissiere,0.71,87.0,0.21,158.0,0.5,89.0
50,1627747,Caris LeVert,0.1,184.0,-0.15,310.0,0.25,144.0
51,1627748,Thon Maker,-0.92,405.0,-1.0,444.0,0.08,197.0
52,1627749,Dejounte Murray,-0.35,335.0,-0.53,389.0,0.18,168.0
53,1627750,Jamal Murray,1.18,40.0,0.59,75.0,0.59,72.0
54,1627751,Jakob Poeltl,1.25,37.0,-0.02,262.0,1.27,16.0
55,1627752,Taurean Prince,0.74,84.0,0.14,182.0,0.6,69.0
56,1627756,Denzel Valentine,0.38,132.0,0.92,31.0,-0.54,387.0
57,1627759,Jaylen Brown,2.3,6.0,0.71,51.0,1.58,7.0
58,1627761,DeAndre Bembry,-2.11,470.0,-0.54,395.0,-1.58,471.0
59,1627763,Malcolm Brogdon,0.4,130.0,0.08,210.0,0.32,126.0
60,1627767,Cheick Diallo,-0.04,237.0,-0.33,350.0,0.29,132.0
61,1627774,Jake Layman,0.61,97.0,0.83,38.0,-0.22,317.0
62,1627775,Patrick McCaw,-0.9,404.0,-0.06,272.0,-0.84,430.0
63,1627777,Georges Niang,-1.94,467.0,-0.75,425.0,-1.19,463.0
64,1627780,Gary Payton II,0.02,209.0,-0.0,248.0,0.03,214.0
65,1627783,Pascal Siakam,1.92,18.0,1.03,22.0,0.9,38.0
66,1627788,Furkan Korkmaz,0.82,73.0,0.6,73.0,0.22,153.0
67,1627789,Timothe Luwawu-Cabarrot,-0.32,327.0,0.62,67.0,-0.94,445.0
68,1627790,Ante Zizic,-0.06,254.0,-0.47,382.0,0.41,104.0
69,1627812,Yogi Ferrell,-0.29,323.0,0.21,154.0,-0.51,383.0
70,1627814,Damion Lee,0.67,90.0,0.44,102.0,0.23,148.0
71,1627820,Tyrone Wallace,-0.19,298.0,0.25,146.0,-0.44,372.0
72,1627823,Juancho Hernangomez,0.44,125.0,0.58,78.0,-0.14,291.0
73,1627826,Ivica Zubac,0.49,115.0,0.72,49.0,-0.24,322.0
74,1627827,Dorian Finney-Smith,1.33,32.0,-0.14,308.0,1.47,9.0
75,1627832,Fred VanVleet,0.6,98.0,0.53,86.0,0.07,200.0
76,1627846,Abdel Nader,-0.47,352.0,0.34,122.0,-0.81,427.0
77,1627853,Ryan Arcidiacono,-0.0,222.0,0.66,59.0,-0.66,411.0
78,1627854,Bryn Forbes,-1.43,448.0,-0.87,434.0,-0.56,390.0
79,1627863,Danuel House Jr.,0.96,64.0,0.18,168.0,0.79,52.0
80,1627884,Derrick Jones Jr.,0.09,188.0,-0.38,363.0,0.47,92.0
81,1627885,Shaquille Harrison,0.8,75.0,0.77,44.0,0.03,216.0
82,1627936,Alex Caruso,1.92,17.0,1.6,4.0,0.32,125.0
83,1627982,Josh Gray,-0.15,288.0,0.12,189.0,-0.27,334.0
84,1628021,David Nwaba,0.81,74.0,1.01,24.0,-0.2,311.0
85,1628035,Alfonzo McKinnie,-0.23,309.0,-0.78,429.0,0.54,79.0
86,1628365,Markelle Fultz,0.02,212.0,0.12,192.0,-0.1,264.0
87,1628366,Lonzo Ball,-0.63,377.0,-0.14,307.0,-0.49,379.0
88,1628368,DeAaron Fox,-0.67,385.0,-1.04,447.0,0.36,115.0
89,1628369,Jayson Tatum,1.16,41.0,0.62,65.0,0.53,82.0
90,1628370,Malik Monk,-0.55,366.0,0.13,186.0,-0.67,414.0
91,1628371,Jonathan Isaac,0.93,66.0,1.02,23.0,-0.08,258.0
92,1628372,Dennis Smith Jr.,-1.58,456.0,-0.67,406.0,-0.91,440.0
