,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
0,101107,Marvin Williams,-0.49,353.0,-0.75,423.0,0.26,144.0,8
1,101108,Chris Paul,0.79,76.0,0.05,218.0,0.74,53.0,8
2,101133,Ian Mahinmi,-0.07,260.0,-0.13,302.0,0.07,199.0,8
3,101139,CJ Miles,0.05,214.0,-0.21,325.0,0.26,142.0,8
4,101141,Ersan Ilyasova,0.57,103.0,0.03,229.0,0.54,76.0,8
5,101150,Lou Williams,0.29,155.0,-0.33,349.0,0.62,66.0,8
6,1626143,Jahlil Okafor,-0.88,410.0,-0.59,406.0,-0.29,336.0,8
7,1626144,Emmanuel Mudiay,-0.31,321.0,-0.04,267.0,-0.27,332.0,8
8,1626145,Tyus Jones,-0.25,310.0,-0.82,431.0,0.56,71.0,8
9,1626149,Montrezl Harrell,1.72,15.0,0.82,36.0,0.9,42.0,8
10,1626153,Delon Wright,0.04,217.0,-0.05,270.0,0.09,192.0,8
11,1626156,DAngelo Russell,-1.14,428.0,-0.76,425.0,-0.38,355.0,8
12,1626157,Karl-Anthony Towns,0.9,65.0,-0.63,410.0,1.52,9.0,8
13,1626158,Richaun Holmes,0.72,87.0,0.34,128.0,0.38,111.0,8
14,1626159,Justise Winslow,0.48,116.0,0.88,30.0,-0.41,358.0,8
15,1626161,Willie Cauley-Stein,-0.03,242.0,0.49,89.0,-0.52,380.0,8
16,1626162,Kelly Oubre Jr.,-0.33,326.0,-0.51,387.0,0.18,168.0,8
17,1626163,Frank Kaminsky,-0.77,399.0,-0.07,277.0,-0.7,411.0,8
18,1626164,Devin Booker,-0.04,246.0,-1.14,459.0,1.1,24.0,8
19,1626167,Myles Turner,-0.55,361.0,-0.0,241.0,-0.54,383.0,8
20,1626168,Trey Lyles,-0.55,364.0,-0.9,440.0,0.35,119.0,8
21,1626169,Stanley Johnson,-0.11,274.0,0.12,194.0,-0.23,319.0,8
22,1626171,Bobby Portis,-1.63,455.0,-0.39,364.0,-1.24,461.0,8
23,1626172,Kevon Looney,-1.42,451.0,-0.33,348.0,-1.09,448.0,8
24,1626174,Christian Wood,1.76,14.0,0.77,45.0,0.99,30.0,8
25,1626178,Rondae Hollis-Jefferson,0.35,140.0,0.28,139.0,0.07,197.0,8
26,1626179,Terry Rozier,-2.3,472.0,-1.23,464.0,-1.07,446.0,8
27,1626181,Norman Powell,-0.44,344.0,0.52,79.0,-0.96,440.0,8
28,1626188,Quinn Cook,0.54,106.0,0.16,175.0,0.38,113.0,8
29,1626192,Pat Connaughton,1.11,41.0,0.16,173.0,0.95,32.0,8
30,1626195,Willy Hernangomez,-0.26,311.0,-0.21,323.0,-0.06,261.0,8
31,1626196,Josh Richardson,0.99,54.0,0.5,88.0,0.49,84.0,8
32,1626203,Treveon Graham,-0.69,387.0,0.44,105.0,-1.13,453.0,8
33,1626204,Larry Nance Jr.,-1.06,421.0,-0.95,445.0,-0.11,285.0,8
34,1626209,Mario Hezonja,-0.51,355.0,0.24,152.0,-0.75,418.0,8
35,1626220,Royce ONeale,1.68,17.0,1.03,19.0,0.66,63.0,8
36,1626224,Cedi Osman,0.29,153.0,0.6,67.0,-0.31,340.0,8
37,1626246,Boban Marjanovic,1.21,34.0,0.32,131.0,0.89,44.0,8
38,1626259,Malcolm Miller,0.17,180.0,-0.1,283.0,0.26,143.0,8
39,1627732,Ben Simmons,0.95,58.0,0.48,96.0,0.47,90.0,8
40,1627733,Dragan Bender,0.35,137.0,0.12,191.0,0.23,152.0,8
41,1627734,Domantas Sabonis,1.36,28.0,0.82,37.0,0.55,74.0,8
42,1627736,Malik Beasley,0.61,94.0,0.19,162.0,0.41,104.0,8
43,1627737,Marquese Chriss,-0.66,382.0,-0.19,317.0,-0.48,374.0,8
44,1627739,Kris Dunn,0.36,135.0,1.51,5.0,-1.15,454.0,8
45,1627740,Henry Ellenson,0.38,134.0,0.29,133.0,0.09,191.0,8
46,1627741,Buddy Hield,-0.73,392.0,-0.97,448.0,0.25,148.0,8
47,1627742,Brandon Ingram,-0.35,328.0,-0.84,433.0,0.49,85.0,8
48,1627745,Damian Jones,-0.88,411.0,-0.86,435.0,-0.03,246.0,8
49,1627746,Skal Labissiere,0.14,186.0,0.18,168.0,-0.04,252.0,8
50,1627747,Caris LeVert,0.15,185.0,-0.17,314.0,0.32,125.0,8
51,1627748,Thon Maker,-0.9,412.0,-0.81,430.0,-0.09,272.0,8
52,1627749,Dejounte Murray,-0.46,347.0,-0.69,418.0,0.23,154.0,8
53,1627750,Jamal Murray,0.54,105.0,0.13,188.0,0.41,103.0,8
54,1627751,Jakob Poeltl,1.71,16.0,0.28,138.0,1.43,11.0,8
55,1627752,Taurean Prince,0.89,67.0,0.21,159.0,0.68,60.0,8
56,1627756,Denzel Valentine,0.2,173.0,0.74,49.0,-0.55,384.0,8
57,1627759,Jaylen Brown,0.5,113.0,-0.44,370.0,0.93,34.0,8
58,1627761,DeAndre Bembry,-1.21,433.0,0.11,200.0,-1.32,466.0,8
59,1627763,Malcolm Brogdon,0.7,88.0,-0.02,250.0,0.72,54.0,8
60,1627767,Cheick Diallo,-0.08,265.0,-0.23,333.0,0.15,180.0,8
61,1627774,Jake Layman,0.77,79.0,0.79,41.0,-0.02,245.0,8
62,1627775,Patrick McCaw,-0.12,277.0,0.62,64.0,-0.74,416.0,8
63,1627777,Georges Niang,-2.13,471.0,-0.7,421.0,-1.42,471.0,8
64,1627780,Gary Payton II,0.44,120.0,0.19,167.0,0.25,146.0,8
65,1627783,Pascal Siakam,1.98,7.0,0.94,26.0,1.04,26.0,8
66,1627788,Furkan Korkmaz,1.02,50.0,0.95,23.0,0.06,201.0,8
67,1627789,Timothe Luwawu-Cabarrot,-0.19,298.0,0.58,73.0,-0.77,423.0,8
68,1627790,Ante Zizic,-0.03,243.0,-0.39,363.0,0.36,117.0,8
69,1627812,Yogi Ferrell,-0.04,247.0,0.19,166.0,-0.23,320.0,8
70,1627814,Damion Lee,0.32,145.0,0.16,174.0,0.16,176.0,8
71,1627820,Tyrone Wallace,-0.15,289.0,0.48,95.0,-0.63,398.0,8
72,1627823,Juancho Hernangomez,0.75,83.0,0.58,74.0,0.17,174.0,8
73,1627826,Ivica Zubac,0.23,170.0,0.48,92.0,-0.26,329.0,8
74,1627827,Dorian Finney-Smith,1.6,21.0,-0.21,326.0,1.82,4.0,8
75,1627832,Fred VanVleet,0.59,100.0,0.62,65.0,-0.03,248.0,8
76,1627846,Abdel Nader,-0.82,404.0,0.14,181.0,-0.96,439.0,8
77,1627853,Ryan Arcidiacono,0.76,80.0,0.85,34.0,-0.09,270.0,8
78,1627854,Bryn Forbes,-1.46,453.0,-0.65,411.0,-0.82,427.0,8
79,1627863,Danuel House Jr.,1.05,46.0,-0.04,262.0,1.09,25.0,8
80,1627884,Derrick Jones Jr.,-0.29,315.0,-0.35,354.0,0.06,204.0,8
81,1627885,Shaquille Harrison,0.39,131.0,0.44,104.0,-0.05,256.0,8
82,1627936,Alex Caruso,1.5,26.0,1.48,7.0,0.02,221.0,8
83,1627982,Josh Gray,-0.12,278.0,0.12,192.0,-0.24,322.0,8
84,1628021,David Nwaba,0.77,78.0,1.12,14.0,-0.35,350.0,8
85,1628035,Alfonzo McKinnie,0.18,178.0,-0.7,420.0,0.87,46.0,8
86,1628365,Markelle Fultz,-0.35,329.0,-0.09,282.0,-0.26,330.0,8
87,1628366,Lonzo Ball,0.13,192.0,0.26,143.0,-0.14,294.0,8
88,1628368,DeAaron Fox,-0.3,317.0,-0.68,415.0,0.38,112.0,8
89,1628369,Jayson Tatum,3.25,3.0,1.64,4.0,1.6,8.0,8
90,1628370,Malik Monk,-1.13,426.0,0.05,222.0,-1.18,456.0,8
91,1628371,Jonathan Isaac,1.04,47.0,0.99,20.0,0.06,205.0,8
92,1628372,Dennis Smith Jr.,-1.73,461.0,-0.93,443.0,-0.8,425.0,8
93,1628373,Frank Ntilikina,-0.65,379.0,0.16,177.0,-0.81,426.0,8
94,1628374,Lauri Markkanen,-0.81,403.0,-0.36,355.0,-0.45,368.0,8
95,1628378,Donovan Mitchell,0.9,64.0,-0.04,265.0,0.94,33.0,8
96,1628379,Luke Kennard,-0.37,331.0,-0.81,428.0,0.44,94.0,8
97,1628380,Zach Collins,0.52,108.0,0.34,125.0,0.18,172.0,8
98,1628381,John Collins,-0.38,336.0,0.26,144.0,-0.64,402.0,8
99,1628382,Justin Jackson,0.11,201.0,-0.52,388.0,0.62,65.0,8
100,1628383,Justin Patton,-0.01,234.0,-0.06,272.0,0.05,209.0,8
101,1628384,OG Anunoby,1.5,25.0,1.1,16.0,0.4,107.0,8
102,1628385,Harry Giles III,-0.59,369.0,-0.2,320.0,-0.39,357.0,8
103,1628386,Jarrett Allen,1.44,27.0,0.53,77.0,0.91,37.0,8
104,1628388,TJ Leaf,0.14,188.0,0.58,72.0,-0.44,366.0,8
105,1628389,Bam Adebayo,0.89,66.0,0.62,66.0,0.27,138.0,8
106,1628390,Terrance Ferguson,-1.09,424.0,-0.76,424.0,-0.34,346.0,8
107,1628391,D.J. Wilson,0.09,205.0,0.12,195.0,-0.03,247.0,8
108,1628392,Isaiah Hartenstein,0.29,154.0,-0.12,288.0,0.41,106.0,8
109,1628395,Jordan Bell,0.12,196.0,-0.47,375.0,0.58,69.0,8
110,1628396,Tony Bradley,0.0,232.0,-0.07,275.0,0.07,198.0,8
111,1628398,Kyle Kuzma,1.07,44.0,0.44,102.0,0.62,67.0,8
112,1628400,Semi Ojeleye,-0.08,262.0,0.51,81.0,-0.58,392.0,8
113,1628401,Derrick White,-0.48,352.0,-0.02,249.0,-0.47,371.0,8
114,1628402,Frank Jackson,-1.26,438.0,-1.14,458.0,-0.12,290.0,8
115,1628403,Caleb Swanigan,0.06,213.0,0.18,169.0,-0.13,292.0,8
116,1628404,Josh Hart,-0.19,296.0,0.8,39.0,-0.99,443.0,8
117,1628405,Johnathan Motley,-0.0,233.0,-0.05,269.0,0.05,211.0,8
118,1628407,Dwayne Bacon,-0.56,365.0,0.15,178.0,-0.71,412.0,8
119,1628410,Edmond Sumner,-0.63,375.0,-0.13,300.0,-0.5,376.0,8
120,1628411,Wes Iwundu,0.65,92.0,0.75,47.0,-0.09,275.0,8
121,1628412,Frank Mason,0.23,168.0,0.17,171.0,0.06,202.0,8
122,1628413,Jonah Bolden,-0.13,283.0,-0.12,292.0,-0.01,239.0,8
123,1628415,Dillon Brooks,-1.51,454.0,-0.41,368.0,-1.1,449.0,8
124,1628418,Thomas Bryant,-1.27,439.0,-0.92,442.0,-0.34,348.0,8
125,1628420,Monte Morris,0.14,187.0,-0.04,264.0,0.18,169.0,8
126,1628422,Damyean Dotson,-0.41,337.0,-0.15,309.0,-0.25,325.0,8
127,1628425,Sterling Brown,0.72,86.0,0.89,28.0,-0.17,305.0,8
128,1628436,Luke Kornet,-0.6,370.0,-0.34,352.0,-0.26,327.0,8
129,1628443,Kadeem Allen,-0.19,297.0,-0.04,263.0,-0.15,300.0,8
130,1628449,Chris Boucher,0.04,218.0,-0.03,257.0,0.07,200.0,8
131,1628464,Daniel Theis,0.99,55.0,0.79,42.0,0.2,163.0,8
132,1628467,Maxi Kleber,0.94,59.0,0.88,32.0,0.06,203.0,8
133,1628470,Torrey Craig,-0.13,281.0,-0.19,316.0,0.06,206.0,8
134,1628476,Derrick Walton Jr.,0.54,104.0,0.49,90.0,0.05,208.0,8
135,1628513,Naz Mitrou-Long,0.42,124.0,0.51,83.0,-0.09,269.0,8
136,1628518,Amile Jefferson,0.02,225.0,0.12,190.0,-0.1,282.0,8
137,1628960,Grayson Allen,0.42,123.0,0.4,110.0,0.02,220.0,8
138,1628961,Kostas Antetokounmpo,0.12,197.0,0.03,230.0,0.09,193.0,8
139,1628963,Marvin Bagley III,-0.69,386.0,-0.05,271.0,-0.64,399.0,8
140,1628964,Mo Bamba,0.4,128.0,0.29,135.0,0.11,186.0,8
141,1628966,Keita Bates-Diop,-1.33,443.0,-0.33,347.0,-1.0,444.0,8
142,1628969,Mikal Bridges,0.51,111.0,0.75,46.0,-0.24,321.0,8
143,1628970,Miles Bridges,-3.27,473.0,-1.63,469.0,-1.65,473.0,8
144,1628971,Bruce Brown,0.38,132.0,0.38,114.0,0.0,234.0,8
145,1628972,Troy Brown Jr.,0.24,164.0,-0.12,291.0,0.36,115.0,8
146,1628973,Jalen Brunson,0.6,95.0,0.19,164.0,0.42,102.0,8
147,1628975,Jevon Carter,1.08,43.0,0.87,33.0,0.21,160.0,8
148,1628976,Wendell Carter Jr.,0.59,99.0,0.77,44.0,-0.18,306.0,8
149,1628977,Hamidou Diallo,0.32,146.0,0.73,52.0,-0.41,359.0,8
150,1628978,Donte DiVincenzo,2.99,4.0,2.08,1.0,0.9,40.0,8
151,1628980,Jacob Evans,-0.37,332.0,-0.27,339.0,-0.1,280.0,8
152,1628982,Melvin Frazier Jr.,-0.15,288.0,0.08,211.0,-0.22,318.0,8
153,1628983,Shai Gilgeous-Alexander,-0.43,342.0,-0.61,409.0,0.18,170.0,8
154,1628984,Devonte Graham,0.39,129.0,-0.12,290.0,0.51,82.0,8
155,1628988,Aaron Holiday,0.67,91.0,0.46,99.0,0.21,159.0,8
156,1628989,Kevin Huerter,-2.0,469.0,-0.76,426.0,-1.24,462.0,8
157,1628990,Chandler Hutchison,-0.24,304.0,0.52,78.0,-0.76,422.0,8
158,1628991,Jaren Jackson Jr.,-1.9,467.0,-1.79,470.0,-0.12,287.0,8
159,1628993,Alize Johnson,0.29,152.0,-0.01,242.0,0.3,132.0,8
160,1628995,Kevin Knox,-0.75,396.0,-0.31,345.0,-0.44,364.0,8
161,1629001,DeAnthony Melton,1.51,24.0,0.48,93.0,1.03,27.0,8
162,1629002,Chimezie Metu,0.02,226.0,0.09,205.0,-0.07,266.0,8
163,1629003,Shake Milton,0.18,175.0,0.34,126.0,-0.16,303.0,8
164,1629004,Svi Mykhailiuk,0.52,109.0,0.08,210.0,0.44,96.0,8
165,1629006,Josh Okogie,0.33,143.0,0.35,123.0,-0.02,241.0,8
166,1629010,Jerome Robinson,0.5,112.0,0.43,108.0,0.08,196.0,8
167,1629011,Mitchell Robinson,0.13,190.0,-0.23,330.0,0.36,116.0,8
168,1629012,Collin Sexton,-1.43,452.0,-1.08,455.0,-0.35,349.0,8
169,1629013,Landry Shamet,-1.23,435.0,-0.68,417.0,-0.55,385.0,8
170,1629014,Anfernee Simons,-1.79,464.0,-1.03,452.0,-0.75,419.0,8
171,1629016,Omari Spellman,-1.16,429.0,-0.42,369.0,-0.74,415.0,8
172,1629017,Khyri Thomas,-0.01,236.0,0.06,214.0,-0.07,265.0,8
173,1629018,Gary Trent Jr.,-0.66,381.0,-0.49,382.0,-0.17,304.0,8
174,1629019,Allonzo Trier,-0.75,397.0,-0.08,281.0,-0.67,406.0,8
175,1629020,Jarred Vanderbilt,-0.01,235.0,-0.12,289.0,0.11,185.0,8
176,1629021,Moritz Wagner,-0.03,244.0,-0.13,296.0,0.1,190.0,8
177,1629022,Lonnie Walker IV,0.48,118.0,0.58,71.0,-0.11,283.0,8
178,1629026,Kenrich Williams,-0.15,290.0,-0.11,287.0,-0.04,253.0,8
179,1629027,Trae Young,-0.32,322.0,-1.16,462.0,0.85,47.0,8
180,1629028,Deandre Ayton,0.4,127.0,0.44,103.0,-0.04,255.0,8
181,1629029,Luka Doncic,1.03,48.0,-0.67,413.0,1.7,5.0,8
182,1629033,Theo Pinson,-0.27,313.0,0.57,75.0,-0.84,430.0,8
183,1629057,Robert Williams III,-0.14,284.0,-0.47,377.0,0.34,122.0,8
184,1629058,Dzanan Musa,-0.57,366.0,0.03,231.0,-0.59,394.0,8
185,1629059,Elie Okobo,0.18,176.0,-0.57,404.0,0.75,52.0,8
186,1629066,Rodions Kurucs,-0.09,268.0,0.62,63.0,-0.72,414.0,8
187,1629067,Isaac Bonga,-0.17,293.0,-0.34,353.0,0.18,171.0,8
188,1629109,Gary Clark,-0.05,249.0,-0.56,400.0,0.51,81.0,8
189,1629117,Wenyen Gabriel,-0.14,285.0,0.05,220.0,-0.19,309.0,8
190,1629126,Deonte Burton,-0.27,312.0,0.2,161.0,-0.47,372.0,8
191,1629130,Duncan Robinson,0.95,57.0,-0.15,305.0,1.1,22.0,8
192,1629133,Daryl Macon,-0.08,263.0,0.13,185.0,-0.21,313.0,8
193,1629139,Yuta Watanabe,0.1,203.0,0.02,233.0,0.08,195.0,8
194,1629140,Johnathan Williams,-0.24,306.0,-0.2,321.0,-0.04,254.0,8
195,1629151,Ryan Broekhoff,-0.43,341.0,-0.21,324.0,-0.22,315.0,8
196,1629164,Brandon Goodwin,-0.09,267.0,0.23,156.0,-0.32,343.0,8
197,1629168,BJ Johnson,-0.14,286.0,-0.03,254.0,-0.12,289.0,8
198,1629185,Chris Chiozza,0.84,73.0,1.2,11.0,-0.36,351.0,8
199,1629234,Drew Eubanks,-0.62,373.0,-0.48,379.0,-0.14,296.0,8
200,1713,Vince Carter,-0.3,318.0,0.13,187.0,-0.44,363.0,8
201,200746,LaMarcus Aldridge,-1.66,457.0,-0.97,447.0,-0.69,408.0,8
202,200752,Rudy Gay,0.29,151.0,0.89,29.0,-0.6,396.0,8
203,200755,JJ Redick,-0.58,368.0,-1.14,460.0,0.56,72.0,8
204,200757,Thabo Sefolosha,-0.67,385.0,-0.36,358.0,-0.31,339.0,8
205,200765,Rajon Rondo,0.6,96.0,0.28,137.0,0.32,127.0,8
206,200768,Kyle Lowry,0.6,97.0,0.64,61.0,-0.04,250.0,8
207,200782,PJ Tucker,0.29,158.0,0.13,186.0,0.15,178.0,8
208,200794,Paul Millsap,1.84,11.0,0.95,25.0,0.89,43.0,8
209,200826,J.J. Barea,0.26,161.0,-0.01,248.0,0.27,139.0,8
210,201143,Al Horford,0.99,53.0,0.98,21.0,0.01,227.0,8
211,201144,Mike Conley,-0.05,248.0,0.23,154.0,-0.27,333.0,8
212,201145,Jeff Green,-1.32,442.0,-0.67,414.0,-0.65,403.0,8
213,201152,Thaddeus Young,0.38,133.0,1.48,6.0,-1.1,450.0,8
214,201158,Marco Belinelli,-0.31,319.0,-0.36,356.0,0.05,210.0,8
215,201162,Jared Dudley,-0.8,401.0,0.22,158.0,-1.02,445.0,8
216,201163,Wilson Chandler,-0.74,395.0,0.14,183.0,-0.88,434.0,8
217,201188,Marc Gasol,1.53,23.0,1.29,10.0,0.24,149.0,8
218,201229,Anthony Tolliver,-1.25,437.0,-0.98,449.0,-0.27,331.0,8
219,201565,Derrick Rose,-0.06,255.0,-1.46,466.0,1.4,14.0,8
220,201566,Russell Westbrook,-0.32,325.0,0.54,76.0,-0.86,433.0,8
221,201567,Kevin Love,-1.71,460.0,-0.5,385.0,-1.2,457.0,8
222,201568,Danilo Gallinari,0.01,229.0,-0.79,427.0,0.8,50.0,8
223,201569,Eric Gordon,-0.99,417.0,-0.89,439.0,-0.11,284.0,8
224,201571,D.J. Augustin,0.8,75.0,1.05,17.0,-0.25,324.0,8
225,201572,Brook Lopez,1.57,22.0,1.03,18.0,0.54,75.0,8
226,201577,Robin Lopez,0.59,101.0,0.43,106.0,0.16,177.0,8
227,201580,JaVale McGee,0.28,159.0,0.16,176.0,0.12,184.0,8
228,201583,Ryan Anderson,0.19,174.0,0.04,225.0,0.15,179.0,8
229,201584,Courtney Lee,-0.06,254.0,-0.26,335.0,0.2,164.0,8
230,201586,Serge Ibaka,-0.87,409.0,-0.11,286.0,-0.76,421.0,8
231,201587,Nicolas Batum,0.02,222.0,-0.67,412.0,0.69,56.0,8
232,201588,George Hill,1.06,45.0,0.05,219.0,1.01,28.0,8
233,201599,DeAndre Jordan,-1.17,431.0,0.09,207.0,-1.25,463.0,8
234,201609,Goran Dragic,-0.83,407.0,-1.44,465.0,0.61,68.0,8
235,201933,Blake Griffin,0.08,211.0,-0.57,401.0,0.64,64.0,8
236,201935,James Harden,2.0,6.0,0.11,198.0,1.89,3.0,8
237,201937,Ricky Rubio,1.2,36.0,0.72,53.0,0.47,89.0,8
238,201939,Stephen Curry,0.08,209.0,-0.22,329.0,0.3,134.0,8
239,201942,DeMar DeRozan,-0.84,408.0,-0.88,437.0,0.04,215.0,8
240,201949,James Johnson,0.11,198.0,-0.03,259.0,0.14,182.0,8
