PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,SEASON,SEASON_TYPE
101107,"Marvin Williams",1610612766,CHA,33,29,10,19,0.345,599.198,77,160,0.481,36,90,0.4,32,35,0.914,13,67,80,32,20,19,14,5,52,35,222,-55,445,0,0,2019-20,"Regular Season"
101108,"Chris Paul",1610612760,OKC,34,31,16,15,0.516,980.28,169,362,0.467,48,131,0.366,119,132,0.902,10,132,142,200,56,51,5,7,75,112,505,51,1087.4,3,0,2019-20,"Regular Season"
101133,"Ian Mahinmi",1610612764,WAS,33,10,3,7,0.3,198.857,25,52,0.481,1,7,0.143,23,35,0.657,26,33,59,10,16,6,13,7,33,32,74,8,200.8,0,0,2019-20,"Regular Season"
101139,"CJ Miles",1610612764,WAS,32,10,4,6,0.4,161.035,19,59,0.322,11,35,0.314,15,20,0.75,4,8,12,12,4,10,4,2,14,14,64,-8,134.4,0,0,2019-20,"Regular Season"
101141,"Ersan Ilyasova",1610612749,MIL,32,30,25,5,0.833,499.037,88,171,0.515,26,73,0.356,38,48,0.792,37,114,151,25,16,14,10,3,45,43,240,94,514.7,2,0,2019-20,"Regular Season"
101150,"Lou Williams",1610612746,LAC,33,31,22,9,0.71,935.682,195,470,0.415,54,150,0.36,148,176,0.841,12,80,92,191,95,20,4,26,47,153,592,124,965.9,2,0,2019-20,"Regular Season"
1626143,"Jahlil Okafor",1610612740,NOP,24,19,3,16,0.158,331.837,63,104,0.606,1,2,0.5,28,43,0.651,32,55,87,29,30,5,15,11,53,41,155,-75,332.9,1,0,2019-20,"Regular Season"
1626144,"Emmanuel Mudiay",1610612762,UTA,23,28,17,11,0.607,460.615,79,167,0.473,15,43,0.349,31,41,0.756,8,62,70,67,44,9,7,18,46,39,204,-1,392.5,0,0,2019-20,"Regular Season"
1626145,"Tyus Jones",1610612763,MEM,23,32,12,20,0.375,636.298,82,192,0.427,18,53,0.34,21,28,0.75,4,49,53,151,34,29,4,12,26,27,203,-96,558.1,0,0,2019-20,"Regular Season"
1626149,"Montrezl Harrell",1610612746,LAC,25,33,23,10,0.697,963.92,257,447,0.575,0,12,0,112,169,0.663,97,149,246,62,63,24,38,43,77,157,626,189,1137.2,6,0,2019-20,"Regular Season"
1626153,"Delon Wright",1610612742,DAL,27,28,19,9,0.679,572.668,77,160,0.481,17,47,0.362,38,44,0.864,24,76,100,92,20,40,8,11,35,35,209,70,591,0,0,2019-20,"Regular Season"
1626156,"D'Angelo Russell",1610612744,GSW,23,21,6,15,0.286,660.19,166,392,0.423,65,190,0.342,79,103,0.767,6,64,70,127,65,19,8,8,46,78,476,-115,766.5,0,0,2019-20,"Regular Season"
1626157,"Karl-Anthony Towns",1610612750,MIN,24,23,9,14,0.391,779.397,207,403,0.514,82,196,0.418,113,142,0.796,63,206,269,101,72,24,29,17,80,125,609,7,1170.3,18,0,2019-20,"Regular Season"
1626158,"Richaun Holmes",1610612758,SAC,26,31,12,19,0.387,900.765,166,252,0.659,0,0,0,60,73,0.822,96,176,272,34,38,35,42,12,127,70,392,26,962.4,11,0,2019-20,"Regular Season"
1626159,"Justise Winslow",1610612748,MIA,23,10,6,4,0.6,336.695,50,127,0.394,6,26,0.231,18,27,0.667,16,55,71,43,23,6,4,4,36,21,124,53,280.7,1,0,2019-20,"Regular Season"
1626161,"Willie Cauley-Stein",1610612744,GSW,26,30,8,22,0.267,705.203,112,195,0.574,0,0,0,25,41,0.61,46,142,188,43,28,38,43,13,83,45,249,-79,754.1,1,0,2019-20,"Regular Season"
1626162,"Kelly Oubre Jr.",1610612756,PHX,24,31,11,20,0.355,1016.37,189,426,0.444,47,150,0.313,111,139,0.799,38,141,179,48,53,43,24,38,101,119,536,-28,970.8,4,0,2019-20,"Regular Season"
1626163,"Frank Kaminsky",1610612756,PHX,26,31,11,20,0.355,711.057,127,278,0.457,39,112,0.348,59,88,0.67,30,128,158,71,33,13,10,18,69,72,352,-28,684.1,1,0,2019-20,"Regular Season"
1626164,"Devin Booker",1610612756,PHX,23,28,11,17,0.393,994.453,241,483,0.499,56,150,0.373,145,160,0.906,19,91,110,176,110,19,8,27,85,149,683,-7,1050,3,0,2019-20,"Regular Season"
1626167,"Myles Turner",1610612754,IND,23,24,15,9,0.625,707.67,106,231,0.459,40,106,0.377,39,54,0.722,31,106,137,28,33,15,53,6,58,59,291,37,668.4,3,0,2019-20,"Regular Season"
1626168,"Trey Lyles",1610612759,SAS,24,30,12,18,0.4,509.205,54,122,0.443,24,67,0.358,8,13,0.615,33,139,172,38,20,7,9,2,33,20,140,-61,431.4,0,0,2019-20,"Regular Season"
1626169,"Stanley Johnson",1610612761,TOR,23,6,4,2,0.667,23.1833,6,13,0.462,1,4,0.25,0,0,0,2,5,7,0,5,2,0,1,6,0,13,-6,22.4,0,0,2019-20,"Regular Season"
1626171,"Bobby Portis",1610612752,NYK,24,32,8,24,0.25,689.813,118,279,0.423,33,94,0.351,32,43,0.744,46,143,189,40,31,20,9,13,59,43,301,-130,643.8,4,0,2019-20,"Regular Season"
1626172,"Kevon Looney",1610612744,GSW,23,10,3,7,0.3,104.94,11,32,0.344,1,2,0.5,3,5,0.6,15,14,29,4,6,3,2,4,17,4,26,-60,75.8,0,0,2019-20,"Regular Season"
1626174,"Christian Wood",1610612765,DET,24,28,12,16,0.429,428.585,98,155,0.632,17,40,0.425,53,80,0.663,36,99,135,17,29,9,23,10,28,69,266,84,520.5,4,0,2019-20,"Regular Season"
1626178,"Rondae Hollis-Jefferson",1610612761,TOR,24,23,15,8,0.652,467.523,74,147,0.503,2,9,0.222,48,64,0.75,54,67,121,38,24,19,10,8,45,51,198,27,463.2,2,0,2019-20,"Regular Season"
1626179,"Terry Rozier",1610612766,CHA,25,34,13,21,0.382,1132.48,214,515,0.416,86,225,0.382,83,99,0.838,29,125,154,142,89,42,7,24,77,90,597,-217,1052.8,1,0,2019-20,"Regular Season"
1626181,"Norman Powell",1610612761,TOR,26,27,19,8,0.704,779.87,140,284,0.493,51,131,0.389,57,69,0.826,15,90,105,46,43,30,11,12,52,52,388,44,663,0,0,2019-20,"Regular Season"
1626188,"Quinn Cook",1610612747,LAL,26,21,17,4,0.81,284.46,43,103,0.417,12,37,0.324,4,5,0.8,4,21,25,31,19,6,1,5,14,9,102,52,180.5,0,0,2019-20,"Regular Season"
1626192,"Pat Connaughton",1610612749,MIL,26,31,27,4,0.871,534.953,59,131,0.45,21,67,0.313,15,21,0.714,17,106,123,58,22,11,16,9,27,18,154,71,447.6,0,0,2019-20,"Regular Season"
1626195,"Willy Hernangomez",1610612766,CHA,25,10,1,9,0.1,67.1383,10,25,0.4,2,7,0.286,4,8,0.5,9,14,23,3,6,1,3,3,4,7,26,-29,64.1,0,0,2019-20,"Regular Season"
1626196,"Josh Richardson",1610612755,PHI,26,26,16,10,0.615,814.455,144,334,0.431,46,130,0.354,50,64,0.781,24,66,90,86,55,29,17,21,72,82,384,108,704,0,0,2019-20,"Regular Season"
1626203,"Treveon Graham",1610612750,MIN,26,28,11,17,0.393,587.013,56,160,0.35,18,76,0.237,24,34,0.706,28,64,92,25,15,15,2,17,57,39,154,-96,337.9,0,0,2019-20,"Regular Season"
1626204,"Larry Nance Jr.",1610612739,CLE,26,28,8,20,0.286,684.048,90,183,0.492,28,82,0.341,26,39,0.667,48,151,199,43,26,21,14,5,43,43,234,-123,616.3,3,0,2019-20,"Regular Season"
1626209,"Mario Hezonja",1610612757,POR,24,25,10,15,0.4,413.648,35,100,0.35,10,32,0.313,24,29,0.828,16,92,108,22,20,13,2,13,55,28,104,-60,291.6,1,0,2019-20,"Regular Season"
1626220,"Royce O'Neale",1610612762,UTA,26,31,19,12,0.613,910.203,72,154,0.468,41,94,0.436,14,18,0.778,5,145,150,80,27,27,9,6,93,31,199,130,580,1,0,2019-20,"Regular Season"
1626224,"Cedi Osman",1610612739,CLE,24,31,9,22,0.29,892.583,117,271,0.432,51,139,0.367,24,39,0.615,13,87,100,68,42,32,10,18,65,48,309,-107,615,0,0,2019-20,"Regular Season"
1626246,"Boban Marjanovic",1610612742,DAL,31,13,9,4,0.692,137.462,31,56,0.554,0,1,0,14,20,0.7,15,43,58,7,11,2,3,5,20,21,76,69,160.1,1,0,2019-20,"Regular Season"
1626259,"Malcolm Miller",1610612761,TOR,26,17,14,3,0.824,105.655,6,19,0.316,5,15,0.333,1,6,0.167,1,13,14,7,3,4,2,2,10,3,18,37,60.3,0,0,2019-20,"Regular Season"
1627732,"Ben Simmons",1610612755,PHI,23,32,22,10,0.688,1117.9,188,334,0.563,2,5,0.4,81,139,0.583,53,172,225,276,118,71,20,16,108,145,459,135,1298,15,2,2019-20,"Regular Season"
1627733,"Dragan Bender",1610612749,MIL,22,3,3,0,1,29.1667,6,8,0.75,2,4,0.5,1,1,1,0,2,2,3,1,0,2,0,6,1,15,18,26.9,0,0,2019-20,"Regular Season"
1627734,"Domantas Sabonis",1610612754,IND,23,30,20,10,0.667,1028.71,209,415,0.504,8,30,0.267,97,132,0.735,99,299,398,118,78,24,18,33,107,144,523,176,1225.6,25,0,2019-20,"Regular Season"
1627736,"Malik Beasley",1610612743,DEN,23,23,15,8,0.652,371.322,60,152,0.395,32,79,0.405,7,9,0.778,6,30,36,23,20,10,4,6,27,13,159,3,258.7,0,0,2019-20,"Regular Season"
1627737,"Marquese Chriss",1610612744,GSW,22,32,9,23,0.281,549.508,81,166,0.488,4,21,0.19,61,76,0.803,55,114,169,55,48,19,28,10,63,65,227,-115,605.3,3,0,2019-20,"Regular Season"
