PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED
Jalen McDaniels,Hornets,04 December 2021,13 December 2021,9
Mason Plumlee,Hornets,04 December 2021,13 December 2021,9
Terry Rozier,Hornets,04 December 2021,12 December 2021,8
Dillon Brooks,Grizzlies,09 December 2021,11 December 2021,2
Bol Bol,Nuggets,04 December 2021,08 December 2021,4
Bones Hyland,Nuggets,01 December 2021,08 December 2021,7
Nicolas Batum,Clippers,23 November 2021,08 December 2021,15
D.J. Augustin,Rockets,29 November 2021,02 December 2021,3
LeBron James,Lakers,30 November 2021,02 December 2021,2
Joel Embiid,76ers,08 November 2021,27 November 2021,19
Nikola Vucevic,Bulls,11 November 2021,24 November 2021,13
Lauri Markkanen,Cavaliers,03 November 2021,21 November 2021,18
Matisse Thybulle,76ers,05 November 2021,20 November 2021,15
Kevin Love,Cavaliers,01 November 2021,17 November 2021,16
Khris Middleton,Bucks,02 November 2021,17 November 2021,15
Tobias Harris,76ers,03 November 2021,11 November 2021,8
Jakob Poeltl,Spurs,03 November 2021,07 November 2021,4
Trey Burke,Mavericks,02 November 2021,03 November 2021,1
Trey Burke,Mavericks,28 October 2021,29 October 2021,1
Al Horford,Celtics,19 October 2021,22 October 2021,3
Amir Coffey,Clippers,30 April 2021,22 May 2021,22
Hamidou Diallo,Pistons,09 May 2021,14 May 2021,5
Hassan Whiteside,Kings,09 May 2021,11 May 2021,2
Zach LaVine,Bulls,15 April 2021,05 May 2021,20
Jahlil Okafor,Pistons,30 April 2021,04 May 2021,4
Alize Johnson,Nets,23 April 2021,29 April 2021,6
Alec Burks,Knicks,16 April 2021,28 April 2021,12
Kent Bazemore,Warriors,23 April 2021,28 April 2021,5
Kevin Porter Jr.,Rockets,21 April 2021,26 April 2021,5
Evan Fournier,Celtics,06 April 2021,23 April 2021,17
Keljin Blevins,Blazers,21 April 2021,23 April 2021,2
Adam Mokoka,Bulls,06 April 2021,21 April 2021,15
Reggie Perry,Nets,19 April 2021,21 April 2021,2
Shaquille Harrison,Nuggets,09 April 2021,15 April 2021,6
Anthony Tolliver,76ers,12 April 2021,14 April 2021,2
Alfonzo McKinnie,Lakers,12 April 2021,13 April 2021,1
KZ Okpala,Heat,23 March 2021,13 April 2021,21
Willie Cauley-Stein,Mavericks,18 March 2021,11 April 2021,24
Daniel Theis,Bulls,05 April 2021,07 April 2021,2
Tristan Thompson,Celtics,16 March 2021,07 April 2021,22
