PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED
Jalen McDaniels,Hornets,04 December 2021,13 December 2021,9
Mason Plumlee,Hornets,04 December 2021,13 December 2021,9
Terry Rozier,Hornets,04 December 2021,12 December 2021,8
Dillon Brooks,Grizzlies,09 December 2021,11 December 2021,2
Bol Bol,Nuggets,04 December 2021,08 December 2021,4
Bones Hyland,Nuggets,01 December 2021,08 December 2021,7
Nicolas Batum,Clippers,23 November 2021,08 December 2021,15
D.J. Augustin,Rockets,29 November 2021,02 December 2021,3
LeBron James,Lakers,30 November 2021,02 December 2021,2
Joel Embiid,76ers,08 November 2021,27 November 2021,19
Nikola Vucevic,Bulls,11 November 2021,24 November 2021,13
Lauri Markkanen,Cavaliers,03 November 2021,21 November 2021,18
Matisse Thybulle,76ers,05 November 2021,20 November 2021,15
Kevin Love,Cavaliers,01 November 2021,17 November 2021,16
Khris Middleton,Bucks,02 November 2021,17 November 2021,15
Tobias Harris,76ers,03 November 2021,11 November 2021,8
Jakob Poeltl,Spurs,03 November 2021,07 November 2021,4
Trey Burke,Mavericks,02 November 2021,03 November 2021,1
Trey Burke,Mavericks,28 October 2021,29 October 2021,1
Al Horford,Celtics,19 October 2021,22 October 2021,3
