Player,Position,Age of Player at the start of February 1st of that season.,Team,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,id
Alex Abrines,SG,25,OKC,29,2,573,55,153,.359,40,124,.323,15,29,.517,.490,12,13,.923,5,42,47,20,17,6,14,51,162,abrinal01
Jaylen Adams,PG,22,ATL,8,0,27,2,6,.333,2,5,.400,0,1,.000,.500,0,0,,0,3,3,4,1,1,1,0,6,adamsja01
Steven Adams,C,25,OKC,35,35,1181,230,386,.596,0,1,.000,230,385,.597,.596,87,164,.530,169,182,351,59,50,27,52,85,547,adamsst01
Bam Adebayo,C,21,MIA,35,5,736,99,184,.538,1,5,.200,98,179,.547,.541,68,95,.716,76,167,243,68,23,29,45,94,267,adebaba01
DeVaughn Akoon-Purcell,SG,25,DEN,7,0,22,3,10,.300,0,4,.000,3,6,.500,.300,1,2,.500,1,3,4,6,2,0,2,4,7,akoonde01
LaMarcus Aldridge,C,33,SAS,38,38,1234,302,608,.497,2,14,.143,300,594,.505,.498,148,179,.827,114,229,343,85,21,44,68,80,754,aldrila01
Rawle Alkins,SG,21,CHI,2,0,4,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,3,0,3,2,1,0,0,0,3,alkinra01
Grayson Allen,SG,23,UTA,17,1,165,20,62,.323,11,41,.268,9,21,.429,.411,18,25,.720,1,4,5,7,1,0,10,18,69,allengr01
Jarrett Allen,C,20,BRK,36,36,958,159,274,.580,4,24,.167,155,250,.620,.588,96,133,.722,95,198,293,56,19,50,50,89,418,allenja01
Al-Farouq Aminu,PF,28,POR,38,38,1142,119,278,.428,53,149,.356,66,129,.512,.523,65,78,.833,53,250,303,35,36,14,32,81,356,aminual01
Justin Anderson,SG,25,ATL,18,0,154,24,54,.444,5,24,.208,19,30,.633,.491,10,11,.909,9,22,31,10,9,5,7,17,63,anderju01
Kyle Anderson,SF,25,MEM,35,32,1046,119,220,.541,8,28,.286,111,192,.578,.559,28,50,.560,37,173,210,102,49,27,43,93,274,anderky01
Ryan Anderson,PF,30,PHO,15,8,278,19,60,.317,7,34,.206,12,26,.462,.375,11,14,.786,14,31,45,17,3,1,12,23,56,anderry01
Ike Anigbogu,C,20,IND,3,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,1,0,1,1,0,0,anigbik01
Giannis Antetokounmpo,PF,24,MIL,34,34,1146,335,572,.586,12,79,.152,323,493,.655,.596,212,305,.695,83,346,429,207,45,54,145,116,894,antetgi01
Carmelo Anthony,PF,34,HOU,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134,anthoca01
OG Anunoby,SF,21,TOR,33,5,685,102,230,.443,39,116,.336,63,114,.553,.528,9,28,.321,27,73,100,24,21,9,22,71,252,anunoog01
Ryan Arcidiacono,PG,24,CHI,36,23,1012,83,188,.441,50,127,.394,33,61,.541,.574,25,30,.833,10,86,96,133,40,1,32,82,241,arcidry01
Trevor Ariza,SF,33,TOT,33,33,1159,122,324,.377,69,198,.348,53,126,.421,.483,49,57,.860,21,164,185,116,55,8,56,60,362,arizatr01
Trevor Ariza,SF,33,PHO,26,26,884,86,227,.379,50,139,.360,36,88,.409,.489,36,43,.837,16,129,145,87,38,8,39,44,258,arizatr01
Trevor Ariza,SF,33,WAS,7,7,275,36,97,.371,19,59,.322,17,38,.447,.469,13,14,.929,5,35,40,29,17,0,17,16,104,arizatr01
D.J. Augustin,PG,31,ORL,35,35,983,128,278,.460,60,137,.438,68,141,.482,.568,85,94,.904,17,59,76,172,17,0,49,49,401,augusdj01
Deandre Ayton,C,20,PHO,38,37,1190,285,471,.605,0,2,.000,285,469,.608,.605,75,98,.765,121,293,414,83,28,35,69,106,645,aytonde01
Dwayne Bacon,SG,23,CHO,17,0,210,37,71,.521,10,19,.526,27,52,.519,.592,10,12,.833,2,28,30,14,3,0,8,23,94,bacondw01
Marvin Bagley,PF,19,SAC,26,0,600,125,233,.536,9,26,.346,116,207,.560,.556,71,104,.683,63,96,159,24,11,27,43,51,330,baglema01
Ron Baker,SG,25,TOT,14,0,150,4,20,.200,1,13,.077,3,7,.429,.225,5,6,.833,1,10,11,15,6,1,5,18,14,bakerro01
Ron Baker,SG,25,NYK,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14,bakerro01
Ron Baker,SG,25,WAS,3,0,43,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,4,4,2,1,1,2,2,0,bakerro01
