,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
0,101106,Andrew Bogut,-0.1,280.0,-0.15,324.0,0.05,228.0,111.32
1,101107,Marvin Williams,-0.07,269.0,-0.37,404.0,0.31,145.0,111.32
2,101108,Chris Paul,1.69,42.0,1.13,25.0,0.56,97.0,111.32
3,101109,Raymond Felton,0.03,234.0,0.74,72.0,-0.71,455.0,111.32
4,101112,Channing Frye,-1.78,503.0,-1.21,514.0,-0.57,431.0,111.32
5,101123,Gerald Green,0.35,161.0,-0.87,486.0,1.22,36.0,111.32
6,101133,Ian Mahinmi,-0.29,332.0,0.41,130.0,-0.7,453.0,111.32
7,101139,CJ Miles,-0.6,397.0,0.09,200.0,-0.69,452.0,111.32
8,101141,Ersan Ilyasova,1.58,45.0,0.76,71.0,0.82,62.0,111.32
9,101150,Lou Williams,0.99,81.0,-0.65,457.0,1.64,18.0,111.32
10,101161,Amir Johnson,-0.84,435.0,-0.51,432.0,-0.33,370.0,111.32
11,101162,Marcin Gortat,-0.82,430.0,-0.26,371.0,-0.56,428.0,111.32
12,101181,Jose Calderon,-2.1,516.0,-0.39,409.0,-1.71,519.0,111.32
13,1626143,Jahlil Okafor,-0.9,444.0,-0.51,429.0,-0.4,383.0,111.32
14,1626144,Emmanuel Mudiay,-1.6,497.0,-1.15,513.0,-0.44,400.0,111.32
15,1626145,Tyus Jones,0.37,158.0,0.22,164.0,0.16,177.0,111.32
16,1626147,Justin Anderson,-0.58,393.0,-0.33,394.0,-0.24,343.0,111.32
17,1626149,Montrezl Harrell,0.26,177.0,-0.66,460.0,0.93,53.0,111.32
18,1626150,Andrew Harrison,-0.12,284.0,0.03,234.0,-0.15,315.0,111.32
19,1626153,Delon Wright,0.16,199.0,0.07,209.0,0.08,208.0,111.32
20,1626154,RJ Hunter,0.44,147.0,0.22,161.0,0.22,159.0,111.32
21,1626155,Sam Dekker,-0.5,372.0,-0.66,458.0,0.16,176.0,111.32
22,1626156,DAngelo Russell,0.08,215.0,0.58,93.0,-0.5,414.0,111.32
23,1626157,Karl-Anthony Towns,0.8,96.0,-0.17,334.0,0.97,47.0,111.32
24,1626158,Richaun Holmes,-0.36,348.0,-0.19,344.0,-0.17,322.0,111.32
25,1626159,Justise Winslow,1.79,36.0,1.72,4.0,0.07,214.0,111.32
26,1626161,Willie Cauley-Stein,0.81,95.0,0.55,100.0,0.26,153.0,111.32
27,1626162,Kelly Oubre Jr.,-1.03,459.0,-0.99,499.0,-0.04,279.0,111.32
28,1626163,Frank Kaminsky,0.52,131.0,0.12,189.0,0.4,124.0,111.32
29,1626164,Devin Booker,-0.48,370.0,-1.37,518.0,0.89,57.0,111.32
30,1626166,Cameron Payne,-1.83,505.0,-0.96,494.0,-0.87,481.0,111.32
31,1626167,Myles Turner,0.36,159.0,1.33,15.0,-0.97,493.0,111.32
32,1626168,Trey Lyles,-0.93,449.0,0.12,187.0,-1.05,499.0,111.32
33,1626169,Stanley Johnson,-1.82,504.0,1.34,13.0,-3.15,529.0,111.32
34,1626170,Jerian Grant,-1.29,481.0,-0.21,351.0,-1.08,502.0,111.32
35,1626171,Bobby Portis,-0.28,330.0,-0.94,491.0,0.66,79.0,111.32
36,1626172,Kevon Looney,1.56,46.0,0.1,196.0,1.46,23.0,111.32
37,1626174,Christian Wood,-0.59,396.0,-0.14,319.0,-0.45,404.0,111.32
38,1626178,Rondae Hollis-Jefferson,0.67,113.0,0.91,50.0,-0.24,341.0,111.32
39,1626179,Terry Rozier,-1.67,499.0,-0.14,318.0,-1.53,514.0,111.32
40,1626181,Norman Powell,-0.61,401.0,-0.1,295.0,-0.51,416.0,111.32
41,1626184,Chasson Randle,-1.3,483.0,-0.77,473.0,-0.53,421.0,111.32
42,1626185,Jarell Martin,0.54,130.0,0.4,131.0,0.14,183.0,111.32
43,1626188,Quinn Cook,-2.49,523.0,-1.54,521.0,-0.96,492.0,111.32
44,1626192,Pat Connaughton,0.29,169.0,-0.14,320.0,0.43,119.0,111.32
45,1626195,Willy Hernangomez,-1.19,474.0,-1.57,522.0,0.38,129.0,111.32
46,1626196,Josh Richardson,1.13,68.0,0.94,48.0,0.19,165.0,111.32
47,1626203,Treveon Graham,1.03,75.0,0.58,91.0,0.44,117.0,111.32
48,1626204,Larry Nance Jr.,-0.87,437.0,-0.7,463.0,-0.17,321.0,111.32
49,1626209,Mario Hezonja,-0.88,440.0,-0.14,315.0,-0.74,463.0,111.32
50,1626210,Alan Williams,0.16,195.0,0.08,203.0,0.08,211.0,111.32
51,1626220,Royce ONeale,1.2,64.0,1.33,14.0,-0.14,310.0,111.32
52,1626224,Cedi Osman,-2.86,526.0,-2.34,527.0,-0.52,420.0,111.32
53,1626245,Cristiano Felicio,-1.17,472.0,-0.97,496.0,-0.2,332.0,111.32
54,1626246,Boban Marjanovic,0.08,217.0,0.49,110.0,-0.42,390.0,111.32
55,1626257,Salah Mejri,-0.45,362.0,-0.3,384.0,-0.15,317.0,111.32
56,1626259,Malcolm Miller,-0.16,300.0,-0.15,322.0,-0.01,264.0,111.32
57,1626296,Jordan Sibert,-0.1,279.0,-0.13,312.0,0.03,239.0,111.32
58,1627215,Walter Lemon Jr.,-0.15,297.0,-0.02,260.0,-0.13,308.0,111.32
59,1627395,Julian Washburn,0.12,206.0,0.05,227.0,0.07,216.0,111.32
60,1627732,Ben Simmons,0.42,152.0,-0.01,252.0,0.43,120.0,111.32
61,1627733,Dragan Bender,-0.9,441.0,-0.16,328.0,-0.74,462.0,111.32
62,1627734,Domantas Sabonis,1.12,70.0,0.8,63.0,0.31,142.0,111.32
63,1627735,Wade Baldwin IV,-1.02,457.0,-0.29,381.0,-0.73,461.0,111.32
64,1627736,Malik Beasley,0.59,123.0,-0.39,408.0,0.98,46.0,111.32
65,1627737,Marquese Chriss,-1.62,498.0,-1.13,510.0,-0.48,408.0,111.32
66,1627738,Deyonta Davis,-0.21,309.0,0.1,194.0,-0.31,361.0,111.32
67,1627739,Kris Dunn,-1.11,465.0,-0.79,479.0,-0.32,367.0,111.32
68,1627740,Henry Ellenson,0.15,202.0,0.18,172.0,-0.03,275.0,111.32
69,1627741,Buddy Hield,0.31,166.0,-0.11,298.0,0.42,122.0,111.32
70,1627742,Brandon Ingram,0.21,186.0,0.31,149.0,-0.11,302.0,111.32
71,1627743,Demetrius Jackson,-0.12,288.0,-0.11,300.0,-0.01,263.0,111.32
72,1627745,Damian Jones,-0.2,306.0,-0.35,398.0,0.15,181.0,111.32
73,1627746,Skal Labissiere,-0.22,312.0,-0.6,451.0,0.38,125.0,111.32
74,1627747,Caris LeVert,0.29,170.0,0.02,239.0,0.26,151.0,111.32
75,1627748,Thon Maker,-0.62,402.0,0.35,140.0,-0.97,494.0,111.32
76,1627750,Jamal Murray,1.44,54.0,0.01,244.0,1.43,27.0,111.32
77,1627751,Jakob Poeltl,0.6,120.0,0.42,124.0,0.18,169.0,111.32
78,1627752,Taurean Prince,-1.36,486.0,-1.45,520.0,0.09,203.0,111.32
79,1627753,Zhou Qi,-0.02,252.0,-0.01,257.0,-0.0,257.0,111.32
80,1627755,Tyler Ulis,0.0,245.0,0.02,241.0,-0.02,269.0,111.32
81,1627758,Ron Baker,-0.02,250.0,0.8,64.0,-0.82,473.0,111.32
82,1627759,Jaylen Brown,0.09,214.0,0.53,104.0,-0.44,399.0,111.32
83,1627761,DeAndre Bembry,-0.51,376.0,-0.19,345.0,-0.32,366.0,111.32
84,1627763,Malcolm Brogdon,1.89,30.0,0.65,83.0,1.24,34.0,111.32
85,1627767,Cheick Diallo,-0.81,428.0,-0.71,467.0,-0.1,298.0,111.32
86,1627772,Daniel Hamilton,-0.06,266.0,0.16,176.0,-0.22,335.0,111.32
87,1627774,Jake Layman,-0.25,322.0,-0.33,393.0,0.08,207.0,111.32
88,1627775,Patrick McCaw,-1.1,464.0,-0.58,449.0,-0.52,417.0,111.32
89,1627777,Georges Niang,-0.96,453.0,-0.91,488.0,-0.05,283.0,111.32
