EVENTMSGTYPE,EVENTMSGACTIONTYPE,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION
1,1,Smith 25' 3PT Jump Shot (3 PTS) (James 1 AST),,
1,3,,,West 5' Hook Shot (2 PTS) (Curry 2 AST)
1,5,James 1' Layup (10 PTS),,
1,6,,,Curry 2' Driving Layup (6 PTS)
1,7,,,Iguodala 1' Dunk (11 PTS) (Durant 9 AST)
1,50,,,Durant 1' Running Dunk (4 PTS) (Green 2 AST)
1,63,James 13' Fadeaway Jumper (2 PTS),,
1,72,,,Looney  Putback Layup (2 PTS)
1,73,,,Curry 1' Driving Reverse Layup (25 PTS) (Green 6 AST)
1,75,,,Curry 1' Driving Finger Roll Layup (14 PTS)
1,78,Thompson 11' Floating Jump Shot (4 PTS) (James 3 AST),,
1,79,Love 26' 3PT Pullup Jump Shot (4 PTS) (James 2 AST),,
1,86,,,Durant 11' Turnaround Fadeaway (2 PTS)
1,97,,,Curry 1' Tip Layup Shot (2 PTS)
1,98,James  Cutting Layup Shot (4 PTS) (Love 1 AST),,
1,101,James 8' Driving Floating Jump Shot (15 PTS),,
1,102,,,McGee 5' Driving Floating Bank Jump Shot (2 PTS) (Curry 1 AST)
1,103,,,Curry 27' 3PT Running Pull-Up Jump Shot (12 PTS)
1,108,,,Durant 2' Cutting Dunk Shot (6 PTS) (Green 3 AST)
2,1,MISS Love 26' 3PT Jump Shot,,
2,3,MISS Thompson 13' Hook Shot,,
2,5,MISS Thompson 3' Layup,,Durant BLOCK (2 BLK)
2,6,MISS James 1' Driving Layup,,Durant BLOCK (1 BLK)
2,9,Thompson BLOCK (1 BLK),,MISS Iguodala  Driving Dunk
2,44,,,MISS McGee 2' Reverse Layup
2,47,MISS Smith 6' Turnaround Jump Shot,,
2,63,,,MISS Curry 20' Fadeaway Jumper
2,66,,,MISS Durant 31' 3PT Jump Bank Shot
2,73,,,MISS Pachulia 1' Driving Reverse Layup
2,78,MISS Hood 5' Floating Jump Shot,,
2,79,,,MISS Durant 12' Pullup Jump Shot
2,80,MISS Love 12' Step Back Jump Shot,,
2,86,MISS Green 11' Turnaround Fadeaway Shot,,
2,93,,,MISS Curry 7' Driving Bank Hook Shot
2,97,MISS G. Hill 1' Tip Layup Shot,,
2,98,MISS Nance Jr. 1' Cutting Layup Shot,,
2,101,MISS Green 5' Driving Floating Jump Shot,,
2,102,,,MISS Durant 7' Driving Floating Bank Jump Shot
2,105,,,MISS Durant 12' Turnaround Fadeaway Bank Jump Shot
3,10,James Free Throw 1 of 1 (11 PTS),,
3,11,,,Curry Free Throw 1 of 2 (3 PTS)
3,12,,,Curry Free Throw 2 of 2 (4 PTS)
3,13,Korver Free Throw 1 of 3 (1 PTS),,
3,14,MISS Korver Free Throw 2 of 3,,
3,15,Korver Free Throw 3 of 3 (2 PTS),,
3,16,Love Free Throw Technical (1 PTS),,
4,0,,,Curry REBOUND (Off:1 Def:0)
4,1,,,Warriors Rebound
5,1,James Bad Pass Turnover (P1.T1),,Curry STEAL (1 STL)
5,2,James Lost Ball Turnover (P4.T8),,Curry STEAL (3 STL)
5,11,,,Warriors Turnover: Shot Clock (T#4)
5,37,,,Thompson Offensive Foul Turnover (P1.T1)
5,45,,,Thompson Out of Bounds - Bad Pass Turnover Turnover (P2.T3)
6,1,,,Durant P.FOUL (P1.T1) (S.Foster)
6,2,Smith S.FOUL (P1.T1) (J.Capers),,
6,3,,,Livingston L.B.FOUL (P1.T1) (S.Foster)
6,4,,,Thompson OFF.Foul (P2) (J.Capers)
6,11,,,Durant T.FOUL (P1.T3) (J.Capers)
6,17,,,Warriors T.Foul (Def. 3 Sec McGee ) (J.Capers)
8,0,,,SUB: Iguodala FOR Thompson
9,1,CAVALIERS Timeout: Regular (Full 1 Short 0),,
10,0,Jump Ball Thompson vs. McGee: Tip to Curry,,
12,0,,,
13,0,,,
18,0,,,
