EVENTMSGTYPE,EVENTMSGACTIONTYPE,DESCRIPTION
1,1,Smith  3PT Jump Shot (3 PTS) (James 3 AST)  
1,2,Young 13 Running Jump Shot (14 PTS) (Livingston 3 AST)  
1,3,  Horford 14 Hook Shot (4 PTS)
1,5,  Brown 2 Layup (12 PTS) (Irving 4 AST)
1,6,Rose 1 Driving Layup (7 PTS) (Crowder 1 AST)  
1,7,  Capela 1 Dunk (8 PTS)
1,9,  Gordon 1 Driving Dunk (7 PTS)
1,41,Thompson 1 Running Layup (4 PTS) (James 4 AST)  
1,43,Thompson  Alley Oop Layup (2 PTS) (Smith 1 AST)  
1,44,Crowder 1 Reverse Layup (9 PTS) (James 6 AST)  
1,47,Wade 11 Turnaround Jump Shot (7 PTS)  
1,50,James 2 Running Dunk (16 PTS)  
1,51,  Barton 1 Reverse Dunk (7 PTS) (Jokic 3 AST)
1,52,  Tatum 2 Alley Oop Dunk (4 PTS) (Irving 6 AST)
1,57,Fournier 7 Driving Hook Shot (2 PTS) (Payton 1 AST)  
1,58,Curry 12 Turnaround Hook Shot (15 PTS)  
1,63,  Hayward 9 Fadeaway Jumper (2 PTS) (Horford 2 AST)
1,66,Augustin 12 Jump Bank Shot (7 PTS)  
1,67,  Griffin 7 Hook Bank Shot (27 PTS) (Williams 2 AST)
1,71,  Cousins 2 Finger Roll Layup (9 PTS)
1,72,Love 1 Putback Layup (4 PTS)  
1,73,  Mbah a Moute 2 Driving Reverse Layup (2 PTS) (Ariza 1 AST)
1,74,  Richardson 3 Running Reverse Layup (10 PTS) (Johnson 4 AST)
1,75,  Gordon 2 Driving Finger Roll Layup (15 PTS)
1,76,Oladipo 1 Running Finger Roll Layup (17 PTS)  
1,78,Smith 13 Floating Jump Shot (10 PTS)  
1,79,  Irving 16 Pullup Jump Shot (6 PTS)
1,80,  Irving 18 Step Back Jump Shot (9 PTS)
1,86,Wade 12 Turnaround Fadeaway (2 PTS) (James 1 AST)  
1,87,Drummond 1 Putback Dunk (6 PTS)  
1,93,  Felder 6 Driving Bank Hook Shot (2 PTS) (Lopez 2 AST)
1,96,Valanciunas 1 Turnaround Bank Hook Shot (19 PTS)  
1,97,  Mozgov 1 Tip Layup Shot (2 PTS)
1,98,  Brown 1 Cutting Layup Shot (14 PTS) (Horford 3 AST)
1,99,James 1 Cutting Finger Roll Layup Shot (6 PTS) (Rose 1 AST)  
1,100,Martin  Running Alley Oop Layup Shot (4 PTS) (Ennis III 2 AST)  
1,101,James 10 Driving Floating Jump Shot (12 PTS)  
1,102,Durant 10 Driving Floating Bank Jump Shot (15 PTS) (Green 11 AST)  
1,103,  Redick 26 3PT Running Pull-Up Jump Shot (3 PTS)
1,104,  Brooks 14 Step Back Bank Jump Shot (2 PTS)
1,105,  Smart 13 Turnaround Fadeaway Bank Jump Shot (6 PTS)
1,106,Chandler 1 Running Alley Oop Dunk Shot (2 PTS) (Warren 1 AST)  
