primaryKey,PLAYER_ID,playerName
101106,101106,"Andrew Bogut"
101107,101107,"Marvin Williams"
101108,101108,"Chris Paul"
101109,101109,"Raymond Felton"
101110,101110,"Martell Webster"
101111,101111,"Charlie Villanueva"
101112,101112,"Channing Frye"
101113,101113,"Ike Diogu"
101114,101114,"Deron Williams"
101115,101115,"Andrew Bynum"
101121,101121,"Joey Graham"
101122,101122,"Danny Granger"
101123,101123,"Gerald Green"
101124,101124,"Hakim Warrick"
101126,101126,"Nate Robinson"
101127,101127,"Jarrett Jack"
101128,101128,"Francisco Garcia"
101130,101130,"Johan Petro"
101131,101131,"Jason Maxiell"
101132,101132,"Linas Kleiza"
101133,101133,"Ian Mahinmi"
101135,101135,"David Lee"
101138,101138,"Brandon Bass"
101139,101139,"CJ Miles"
101141,101141,"Ersan Ilyasova"
101142,101142,"Ronny Turiaf"
101144,101144,"Von Wafer"
101145,101145,"Monta Ellis"
101146,101146,"Roko Ukic"
101150,101150,"Lou Williams"
101153,101153,"Mickael Gelabale"
101154,101154,"Andray Blatche"
101155,101155,"Ryan Gomes"
101161,101161,"Amir Johnson"
101162,101162,"Marcin Gortat"
101179,101179,"Ronnie Price"
101181,101181,"Jose Calderon"
101183,101183,"Shavlik Randolph"
101187,101187,"Alan Anderson"
101189,101189,"James Singleton"
101198,101198,"Will Bynum"
101204,101204,"Dwayne Jones"
101215,101215,"Will Conroy"
101235,101235,"Kelenna Azubuike"
101236,101236,"Chuck Hayes"
101249,101249,"John Lucas III"
1112,1112,"Ben Wallace"
1495,1495,"Tim Duncan"
1497,1497,"Chauncey Billups"
1498,1498,"Antonio Daniels"
1499,1499,"Tony Battie"
1503,1503,"Tracy McGrady"
1515,1515,"Anthony Parker"
1536,1536,"Stephen Jackson"
1626143,1626143,"Jahlil Okafor"
1626144,1626144,"Emmanuel Mudiay"
1626145,1626145,"Tyus Jones"
1626146,1626146,"Cliff Alexander"
1626147,1626147,"Justin Anderson"
1626148,1626148,"Anthony Brown"
1626149,1626149,"Montrezl Harrell"
1626150,1626150,"Andrew Harrison"
1626151,1626151,"Aaron Harrison"
1626153,1626153,"Delon Wright"
1626154,1626154,"RJ Hunter"
1626155,1626155,"Sam Dekker"
1626156,1626156,"DAngelo Russell"
1626157,1626157,"Karl-Anthony Towns"
1626158,1626158,"Richaun Holmes"
1626159,1626159,"Justise Winslow"
1626161,1626161,"Willie Cauley-Stein"
1626162,1626162,"Kelly Oubre Jr."
1626163,1626163,"Frank Kaminsky"
1626164,1626164,"Devin Booker"
1626166,1626166,"Cameron Payne"
1626167,1626167,"Myles Turner"
1626168,1626168,"Trey Lyles"
1626169,1626169,"Stanley Johnson"
1626170,1626170,"Jerian Grant"
1626171,1626171,"Bobby Portis"
1626172,1626172,"Kevon Looney"
1626173,1626173,"Rashad Vaughn"
1626174,1626174,"Christian Wood"
1626175,1626175,"Jordan Mickey"
1626176,1626176,"Rakeem Christmas"
1626177,1626177,"Dakari Johnson"
1626178,1626178,"Rondae Hollis-Jefferson"
1626179,1626179,"Terry Rozier"
1626181,1626181,"Norman Powell"
1626183,1626183,"Branden Dawson"
1626184,1626184,"Chasson Randle"
1626185,1626185,"Jarell Martin"
1626187,1626187,"Michael Frazier"
1626188,1626188,"Quinn Cook"
1626191,1626191,"Chris McCullough"
1626192,1626192,"Pat Connaughton"
1626195,1626195,"Willy Hernangomez"
1626196,1626196,"Josh Richardson"
1626199,1626199,"Darrun Hilliard"
1626202,1626202,"Joe Young"
1626203,1626203,"Treveon Graham"
1626204,1626204,"Larry Nance Jr."
