primaryKey,gridType,gameId,eventNumber,playerId,playerName,teamId,teamName,period,minutesRemaining,secondsRemaining,eventType,actionType,shotZoneBasic,shotZoneArea,shotZoneRange,shotType,shotDistance,xCoordinate,yCoordinate,shotAttemptedFlag,shotMadeFlag,gameDate,homeTeam,awayTeam,season,seasonType,dt
0021800607_101_1626179,"Shot Chart Detail",0021800607,101,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,3,20,"Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-123,228,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_103_202681,"Shot Chart Detail",0021800607,103,202681,"Kyrie Irving",1610612738,"Boston Celtics",1,3,11,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-6,13,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_112_203926,"Shot Chart Detail",0021800607,112,203926,"Doug McDermott",1610612754,"Indiana Pacers",1,2,49,"Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",4,-41,20,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_115_1626179,"Shot Chart Detail",0021800607,115,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,2,38,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-171,183,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_117_201936,"Shot Chart Detail",0021800607,117,201936,"Tyreke Evans",1610612754,"Indiana Pacers",1,2,30,"Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",5,49,17,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_11_1628369,"Shot Chart Detail",0021800607,11,1628369,"Jayson Tatum",1610612738,"Boston Celtics",1,11,13,"Made Shot","Running Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,6,-5,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_125_203124,"Shot Chart Detail",0021800607,125,203124,"Kyle OQuinn",1610612754,"Indiana Pacers",1,2,12,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",8,-54,71,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_127_1627759,"Shot Chart Detail",0021800607,127,1627759,"Jaylen Brown",1610612738,"Boston Celtics",1,2,0,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",29,-179,230,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_138_1628464,"Shot Chart Detail",0021800607,138,1628464,"Daniel Theis",1610612738,"Boston Celtics",1,1,31,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",26,81,254,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_13_1627734,"Shot Chart Detail",0021800607,13,1627734,"Domantas Sabonis",1610612754,"Indiana Pacers",1,10,56,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center(LC)","16-24 ft.",22,-109,193,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_140_202709,"Shot Chart Detail",0021800607,140,202709,"Cory Joseph",1610612754,"Indiana Pacers",1,1,15,"Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",6,45,52,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_147_202330,"Shot Chart Detail",0021800607,147,202330,"Gordon Hayward",1610612738,"Boston Celtics",1,0,48,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,-19,7,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_149_1628388,"Shot Chart Detail",0021800607,149,1628388,"TJ Leaf",1610612754,"Indiana Pacers",1,0,32,"Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,6,4,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_151_1628369,"Shot Chart Detail",0021800607,151,1628369,"Jayson Tatum",1610612738,"Boston Celtics",1,0,10,"Missed Shot","Fadeaway Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","8-16 ft.",14,-143,43,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_153_201936,"Shot Chart Detail",0021800607,153,201936,"Tyreke Evans",1610612754,"Indiana Pacers",1,0,0,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",26,-16,269,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_157_201936,"Shot Chart Detail",0021800607,157,201936,"Tyreke Evans",1610612754,"Indiana Pacers",2,11,40,"Made Shot","Step Back Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",14,81,126,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_15_202694,"Shot Chart Detail",0021800607,15,202694,"Marcus Morris",1610612738,"Boston Celtics",1,10,43,"Missed Shot","Fadeaway Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","8-16 ft.",13,-133,-4,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_168_1628369,"Shot Chart Detail",0021800607,168,1628369,"Jayson Tatum",1610612738,"Boston Celtics",2,10,52,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,3,21,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_170_201936,"Shot Chart Detail",0021800607,170,201936,"Tyreke Evans",1610612754,"Indiana Pacers",2,10,47,"Made Shot","Running Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,8,13,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_171_1628369,"Shot Chart Detail",0021800607,171,1628369,"Jayson Tatum",1610612738,"Boston Celtics",2,10,32,"Missed Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",3,-20,28,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_17_203506,"Shot Chart Detail",0021800607,17,203506,"Victor Oladipo",1610612754,"Indiana Pacers",1,10,33,"Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",26,39,261,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_180_203124,"Shot Chart Detail",0021800607,180,203124,"Kyle OQuinn",1610612754,"Indiana Pacers",2,10,7,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,Center(C),"16-24 ft.",16,-27,167,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_182_1628369,"Shot Chart Detail",0021800607,182,1628369,"Jayson Tatum",1610612738,"Boston Celtics",2,9,43,"Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",5,-24,47,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_186_1628369,"Shot Chart Detail",0021800607,186,1628369,"Jayson Tatum",1610612738,"Boston Celtics",2,9,28,"Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-2,2,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_187_201936,"Shot Chart Detail",0021800607,187,201936,"Tyreke Evans",1610612754,"Indiana Pacers",2,9,11,"Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-116,240,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_188_1627759,"Shot Chart Detail",0021800607,188,1627759,"Jaylen Brown",1610612738,"Boston Celtics",2,8,57,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,Center(C),"8-16 ft.",14,-11,143,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
