index,Unnamed: 0,primaryKey,season,seasonType,gameId,gameDate,period,secondsElapsed,team1Score,team2Score,offenseTeamId1,offensePlayer1Id,offensePlayer2Id,offensePlayer3Id,offensePlayer4Id,offensePlayer5Id,defenseTeamId2,defensePlayer1Id,defensePlayer2Id,defensePlayer3Id,defensePlayer4Id,defensePlayer5Id,points,expectedPoints,defensiveRebounds,offensiveRebounds,opponentDefensiveRebounds,opponentOffensiveRebounds,offensiveFouls,defensiveFouls,turnovers,fieldGoalAttempts,fieldGoals,threePtAttempts,threePtMade,freeThrowAttempts,freeThrowsMade,possessions,seconds,dt,adjustedPoints
1,1,100_0022100001_1610612751,2021-22,Regular Season,22100001,1634616000000,1,416,,,1610612751,200746,200794,201142,201988,1628975,1610612749,201588,201950,203114,203507,1626192,0.0,1.1244343248184938,0,0,1,0,0,0,0,1,0,1,0,0,0,1,11,2021-10-29T13:59:40.216,0.0
3,3,100_0022100002_1610612747,2021-22,Regular Season,22100002,1634616000000,1,442,,,1610612747,2544,2546,200765,203076,203145,1610612744,2738,201939,202357,203110,1627814,0.0,1.07693027794201,0,0,1,0,0,0,0,1,0,1,0,0,0,1,17,2021-10-29T13:59:40.216,0.0
5,5,100_0022100006_1610612764,2021-22,Regular Season,22100006,1634702400000,1,492,,,1610612764,202722,203526,1626149,1628988,1630166,1610612761,203920,1627832,1629004,1629018,1630567,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,2021-10-29T13:59:40.216,0.0
7,7,100_0022100011_1610612762,2021-22,Regular Season,22100011,1634702400000,1,478,,,1610612762,202355,203903,204060,1626220,1628378,1610612760,1628983,1629647,1629652,1629676,1630544,0.0,0.0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,34,2021-10-29T13:59:40.216,0.0
8,8,100_0022100014_1610612737,2021-22,Regular Season,22100014,1634788800000,1,459,,,1610612737,1628381,1628989,1629027,1629629,1629631,1610612742,203501,1626161,1627827,1628973,1629029,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,2021-10-29T13:59:40.216,0.0
11,11,100_0022100016_1610612746,2021-22,Regular Season,22100016,1634788800000,1,506,,,1610612746,202331,202694,202704,1628379,1629611,1610612744,201939,202357,203110,203952,1629673,2.0,1.526,0,0,0,0,0,0,0,0,0,0,0,2,2,1,16,2021-10-29T13:59:40.216,2.0
14,14,100_0022100026_1610612758,2021-22,Regular Season,22100026,1634875200000,1,459,,,1610612758,203084,203458,1627741,1630169,1630558,1610612762,202355,202711,204060,1626220,1628378,0.0,2.2713207697734767,0,1,1,0,0,0,0,2,0,2,0,0,0,1,23,2021-10-29T13:59:40.216,0.0
17,17,100_0022100031_1610612750,2021-22,Regular Season,22100031,1634961600000,1,424,,,1610612750,1626156,1626157,1629006,1630162,1630183,1610612740,202685,1627742,1628984,1629638,1630230,0.0,1.518,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,2021-10-29T13:59:40.216,0.0
18,18,100_0022100047_1610612740,2021-22,Regular Season,22100047,1635134400000,1,453,12.0,12.0,1610612740,202066,202685,1627742,1630184,1630529,1610612750,201976,1626157,1629006,1630162,1630183,3.0,1.0212080777640853,0,0,0,0,0,0,0,1,1,1,1,0,0,1,16,2021-10-29T13:59:40.216,0.0
21,21,100_0022100054_1610612762,2021-22,Regular Season,22100054,1635220800000,1,507,24.0,26.0,1610612762,202355,203903,204060,1626220,1628378,1610612743,203932,203999,1628408,1629008,1630267,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,2021-10-29T13:59:40.216,2.0
