,G,MPG,minutes,Player,Team,playerId,playerName,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season,teamAbbreviationLower
0,78,30,2340,Taurean Prince,atl,1627752.0,Taurean Prince,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
1,78,28,2184,Trae Young,atl,1629027.0,Trae Young,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
2,70,28,1960,John Collins,atl,1628381.0,John Collins,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
3,76,27,2052,Kent Bazemore,atl,203145.0,Kent Bazemore,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
4,51,24,1224,Jeremy Lin,atl,202391.0,Jeremy Lin,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
5,78,20,1560,Kevin Huerter,atl,1628989.0,Kevin Huerter,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
6,78,20,1560,Alex Len,atl,203458.0,Alex Len,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
7,78,15,1170,Omari Spellman,atl,1629016.0,Omari Spellman,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
8,78,12,936,Tyler Dorsey,atl,1628416.0,Tyler Dorsey,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
9,74,10,774,DeAndre Bembry,atl,1627761.0,DeAndre Bembry,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
10,76,10,760,Miles Plumlee,atl,203101.0,Miles Plumlee,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
11,77,8,616,Vince Carter,atl,1713.0,Vince Carter,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
12,76,3,228,Justin Anderson,atl,1626147.0,Justin Anderson,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
13,78,2,156,Jaylen Adams,atl,1629121.0,Jaylen Adams,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
14,78,2,156,Daniel Hamilton,atl,1627772.0,Daniel Hamilton,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
15,78,2,156,Alex Poythress,atl,1627816.0,Alex Poythress,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
16,77,24,1848,DeWayne Dedmon,atl,203473.0,Dewayne Dedmon,1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19,atl
17,69,28,1932,DeMarre Carroll,bkn,201960.0,DeMarre Carroll,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
18,78,28,2184,Allen Crabbe,bkn,203459.0,Allen Crabbe,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
19,70,27,1890,Rondae Hollis-Jefferson,bkn,1626178.0,Rondae Hollis-Jefferson,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
20,78,26,2028,Spencer Dinwiddie,bkn,203915.0,Spencer Dinwiddie,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
21,73,25,1825,Caris LeVert,bkn,1627747.0,Caris LeVert,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
22,76,24,1824,Joe Harris,bkn,203925.0,Joe Harris,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
23,78,24,1872,Jarrett Allen,bkn,1628386.0,Jarrett Allen,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
24,76,20,1520,Ed Davis,bkn,202334.0,Ed Davis,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
25,78,15,1170,Shabazz Napier,bkn,203894.0,Shabazz Napier,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
26,76,7,532,Kenneth Faried,bkn,202702.0,Kenneth Faried,1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19,bkn
