playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,LA_RAPM__intercept,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_EFG__intercept,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_FTR__intercept,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_ORBD__intercept,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RA_TOV__intercept,season,primaryKey
101106,"Andrew Bogut",2.25,63,3.45,1,-1.2,491,105.65,2.59,64,3.18,6,-0.6,396,105.85,2.72,10,1.6,10,1.11,35,51.21,-0.42,361,3.09,25,-3.52,575,34.23,1.99,34,1.63,11,0.35,169,22.17,-2,577,-0.42,474,-1.57,578,-15.4,2013-16,101106_2013-16
101106,"Andrew Bogut",0.97,196,5.56,5,-4.59,566,105.14,1.35,120,2.98,8,-1.63,516,106.14,2.02,19,1.98,3,0.04,254,51.35,-1.63,466,3.62,17,-5.25,572,33.4,0.67,146,1.23,35,-0.56,427,21.19,-1.16,543,-0.26,423,-0.9,560,-14.86,2014-17,101106_2014-17
101106,"Andrew Bogut",1.57,147,6.28,5,-4.71,569,105.88,0.14,245,3.46,4,-3.32,574,107.49,0.68,125,1.79,3,-1.11,548,52.15,-1.58,475,2.11,50,-3.69,569,32.36,1.03,90,1.33,16,-0.3,370,20.4,-0.95,548,-0.14,378,-0.8,562,-14.54,2015-18,101106_2015-18
101106,"Andrew Bogut",0.13,253,3.08,4,-2.95,634,107.64,-0.06,301,3.34,7,-3.39,634,108.91,0.04,278,1.49,11,-1.46,628,53.02,-1.6,543,0.27,220,-1.87,585,30.99,1.59,54,1.37,19,0.22,215,19.93,-0.25,452,0.46,80,-0.71,616,-14.34,2016-19,101106_2016-19
101107,"Marvin Williams",-0.85,403,-1.4,523,0.55,149,105.65,-0.61,349,-1.36,509,0.75,126,105.85,-0.24,336,-0.5,457,0.26,176,51.21,-0.87,405,-0.19,318,-0.68,397,34.23,-1.5,521,0.81,70,-2.31,575,22.17,0.43,125,-0.71,539,1.14,7,-15.4,2013-16,101107_2013-16
101107,"Marvin Williams",0.6,229,-0.09,291,0.7,204,105.14,1.91,85,0.39,195,1.52,68,106.14,1.06,80,0.25,190,0.81,66,51.35,0.35,212,1.52,81,-1.17,458,33.4,-0.66,414,1.05,43,-1.71,554,21.19,0.32,166,-0.58,519,0.9,16,-14.86,2014-17,101107_2014-17
101107,"Marvin Williams",0.44,244,0.5,221,-0.05,288,105.88,0.99,139,-0.05,279,1.04,106,107.49,-0.2,330,0.13,239,-0.32,398,52.15,0.77,172,2.95,19,-2.17,537,32.36,0.11,227,0.24,193,-0.13,313,20.4,0.68,72,-0.16,384,0.84,17,-14.54,2015-18,101107_2015-18
101107,"Marvin Williams",-0.15,319,0.03,296,-0.18,358,107.64,-0.47,389,-0.07,328,-0.4,398,108.91,-0.5,462,0.5,112,-1,603,53.02,1.56,101,2.07,50,-0.51,438,30.99,-0.43,430,-0.25,432,-0.18,392,19.93,-0.08,372,-0.36,539,0.27,125,-14.34,2016-19,101107_2016-19
101108,"Chris Paul",6.3,2,2.47,16,3.83,7,105.65,7.02,1,2.68,17,4.33,5,105.85,3.54,3,1.27,24,2.26,5,51.21,2.84,44,-0.35,358,3.19,26,34.23,1.4,67,1.25,27,0.15,219,22.17,1.2,29,0.42,112,0.78,35,-15.4,2013-16,101108_2013-16
101108,"Chris Paul",10.12,2,2.14,83,7.98,4,105.14,7.05,5,1.32,85,5.73,3,106.14,3.26,6,0.39,154,2.87,3,51.35,3.92,21,0.63,156,3.29,20,33.4,0.1,241,0.68,92,-0.58,429,21.19,1.44,13,0.23,157,1.2,3,-14.86,2014-17,101108_2014-17
